,ID,E_Brent,C_polimero,PPM,Costo_Kw_hr,reg_f,BE_F
0,0.0,18.0,2.5,150.0,244.0,0.0,28.373094202731213
1,1.0,18.0,3.2,150.0,244.0,0.0,28.924710175229187
2,2.0,18.0,3.9,150.0,244.0,0.0,29.481138973681503
3,3.0,18.0,4.6,150.0,244.0,0.0,30.037567765122233
4,4.0,18.0,5.3,150.0,244.0,0.0,30.59399656745782
5,5.0,18.0,2.5,150.0,244.0,1.0,31.28840531341441
6,6.0,18.0,3.2,150.0,244.0,1.0,31.91017203963817
7,7.0,18.0,3.9,150.0,244.0,1.0,32.53193871753854
8,8.0,18.0,4.6,150.0,244.0,1.0,33.15370541079789
9,9.0,18.0,5.3,150.0,244.0,1.0,33.77547211720525
