,ID,E_Brent,C_polimero,PPM,Costo_Kw_hr,reg_f,piloto,D_G,D_GSW,BE_F
0,0.0,18.0,2.5,450.0,244.0,0.0,0.0,1.0,1.0,20.23952835756322
1,1.0,18.0,3.2,450.0,244.0,0.0,0.0,1.0,1.0,20.609601421900773
2,2.0,18.0,3.9,450.0,244.0,0.0,0.0,1.0,1.0,20.97967456048332
3,3.0,18.0,4.6,450.0,244.0,0.0,0.0,1.0,1.0,21.34974768102014
4,4.0,18.0,5.3,450.0,244.0,0.0,0.0,1.0,1.0,21.71982080860315
5,5.0,18.0,2.5,450.0,244.0,1.0,0.0,1.0,1.0,22.250991595786886
6,6.0,18.0,3.2,450.0,244.0,1.0,0.0,1.0,1.0,22.67218869611509
7,7.0,18.0,3.9,450.0,244.0,1.0,0.0,1.0,1.0,23.09338581326557
8,8.0,18.0,4.6,450.0,244.0,1.0,0.0,1.0,1.0,23.514582931123687
9,9.0,18.0,5.3,450.0,244.0,1.0,0.0,1.0,1.0,23.935780051018476
10,10.0,18.0,2.5,450.0,244.0,0.0,1.0,1.0,1.0,33.37031738265619
11,11.0,18.0,3.2,450.0,244.0,0.0,1.0,1.0,1.0,33.73203914330403
12,12.0,18.0,3.9,450.0,244.0,0.0,1.0,1.0,1.0,34.093760812012334
13,13.0,18.0,4.6,450.0,244.0,0.0,1.0,1.0,1.0,34.45548255041028
14,14.0,18.0,5.3,450.0,244.0,0.0,1.0,1.0,1.0,34.817204280875686
15,15.0,18.0,2.5,450.0,244.0,1.0,1.0,1.0,1.0,37.184046006027984
16,16.0,18.0,3.2,450.0,244.0,1.0,1.0,1.0,1.0,37.59563904488714
17,17.0,18.0,3.9,450.0,244.0,1.0,1.0,1.0,1.0,38.00723205630785
18,18.0,18.0,4.6,450.0,244.0,1.0,1.0,1.0,1.0,38.418825037148835
19,19.0,18.0,5.3,450.0,244.0,1.0,1.0,1.0,1.0,38.830418070638004
20,20.0,18.0,2.5,450.0,244.0,0.0,0.0,1.0,0.0,27.292671847496308
21,21.0,18.0,3.2,450.0,244.0,0.0,0.0,1.0,0.0,12.35407416423837
22,22.0,18.0,3.9,450.0,244.0,0.0,0.0,1.0,0.0,10.125912981905486
23,23.0,18.0,4.6,450.0,244.0,0.0,0.0,1.0,0.0,11.31512472000378
24,24.0,18.0,5.3,450.0,244.0,0.0,0.0,1.0,0.0,12.989809815334388
25,25.0,18.0,2.5,450.0,244.0,1.0,0.0,1.0,0.0,9.225682164187722
26,26.0,18.0,3.2,450.0,244.0,1.0,0.0,1.0,0.0,11.385085320348695
27,27.0,18.0,3.9,450.0,244.0,1.0,0.0,1.0,0.0,14.74043502744363
28,28.0,18.0,4.6,450.0,244.0,1.0,0.0,1.0,0.0,179.69286141716844
29,29.0,18.0,5.3,450.0,244.0,1.0,0.0,1.0,0.0,-410.04397075855513
30,30.0,18.0,2.5,450.0,244.0,0.0,1.0,1.0,0.0,36.33872848705407
31,31.0,18.0,3.2,450.0,244.0,0.0,1.0,1.0,0.0,322.37129802062134
32,32.0,18.0,3.9,450.0,244.0,0.0,1.0,1.0,0.0,-781.1726101767772
33,33.0,18.0,4.6,450.0,244.0,0.0,1.0,1.0,0.0,5.167492205517327
34,34.0,18.0,5.3,450.0,244.0,0.0,1.0,1.0,0.0,8.569145144367031
35,35.0,18.0,2.5,450.0,244.0,1.0,1.0,1.0,0.0,-4.478091542423696
36,36.0,18.0,3.2,450.0,244.0,1.0,1.0,1.0,0.0,1.1555353552395877
37,37.0,18.0,3.9,450.0,244.0,1.0,1.0,1.0,0.0,4.926608271996091
38,38.0,18.0,4.6,450.0,244.0,1.0,1.0,1.0,0.0,8.667889065145228
39,39.0,18.0,5.3,450.0,244.0,1.0,1.0,1.0,0.0,11.531301497786176
40,40.0,18.0,2.5,450.0,244.0,0.0,0.0,0.0,1.0,25.682761770680038
41,41.0,18.0,3.2,450.0,244.0,0.0,0.0,0.0,1.0,25.74099926645262
42,42.0,18.0,3.9,450.0,244.0,0.0,0.0,0.0,1.0,25.79923708027168
43,43.0,18.0,4.6,450.0,244.0,0.0,0.0,0.0,1.0,25.857474643726945
44,44.0,18.0,5.3,450.0,244.0,0.0,0.0,0.0,1.0,25.915712215602046
45,45.0,18.0,2.5,450.0,244.0,1.0,0.0,0.0,1.0,29.510609117846816
46,46.0,18.0,3.2,450.0,244.0,1.0,0.0,0.0,1.0,29.57752674009562
47,47.0,18.0,3.9,450.0,244.0,1.0,0.0,0.0,1.0,29.64444419956181
48,48.0,18.0,4.6,450.0,244.0,1.0,0.0,0.0,1.0,29.71136183386343
49,49.0,18.0,5.3,450.0,244.0,1.0,0.0,0.0,1.0,29.77827968043724
50,50.0,18.0,2.5,450.0,244.0,0.0,1.0,0.0,1.0,43.91547446809477
51,51.0,18.0,3.2,450.0,244.0,0.0,1.0,0.0,1.0,43.9730790901905
52,52.0,18.0,3.9,450.0,244.0,0.0,1.0,0.0,1.0,44.03068386502824
53,53.0,18.0,4.6,450.0,244.0,0.0,1.0,0.0,1.0,44.088288477592165
54,54.0,18.0,5.3,450.0,244.0,0.0,1.0,0.0,1.0,44.14589301923028
55,55.0,18.0,2.5,450.0,244.0,1.0,1.0,0.0,1.0,50.460049863305095
56,56.0,18.0,3.2,450.0,244.0,1.0,1.0,0.0,1.0,50.526239363176494
57,57.0,18.0,3.9,450.0,244.0,1.0,1.0,0.0,1.0,50.592428689128006
58,58.0,18.0,4.6,450.0,244.0,1.0,1.0,0.0,1.0,50.65861802750648
59,59.0,18.0,5.3,450.0,244.0,1.0,1.0,0.0,1.0,50.724807344890586
