,ID,E_Brent,C_polimero,PPM,Costo_Kw_hr,reg_f,BE_F
0,0.0,18.0,2.5,150.0,244.0,0.0,30.57866054133201
1,1.0,18.0,3.2,150.0,244.0,0.0,30.71474804348805
2,2.0,18.0,3.9,150.0,244.0,0.0,30.850835658193727
3,3.0,18.0,4.6,150.0,244.0,0.0,30.986923053119757
4,4.0,18.0,5.3,150.0,244.0,0.0,31.12301057535259
5,5.0,18.0,2.5,150.0,244.0,1.0,34.39348983984325
6,6.0,18.0,3.2,150.0,244.0,1.0,34.54874937825977
7,7.0,18.0,3.9,150.0,244.0,1.0,34.7040088543608
8,8.0,18.0,4.6,150.0,244.0,1.0,34.85926827694918
9,9.0,18.0,5.3,150.0,244.0,1.0,35.01452777064937
