,ID,E_Brent,NE_C1,M1_C1,M2_C1,SW_C1,costo_gel,reg_f,BE_F
0,0.0,20.0,0.0,0.0,0.0,0.0,3.0,0.0,20.0
1,1.0,20.0,0.0,0.0,0.0,1.0,3.0,0.0,8.49160345877112
2,2.0,20.0,0.0,0.0,1.0,0.0,3.0,0.0,8.332203316134562
3,3.0,20.0,0.0,0.0,1.0,1.0,3.0,0.0,8.3543508637232
4,4.0,20.0,0.0,1.0,0.0,0.0,3.0,0.0,11.283923875827865
5,5.0,20.0,0.0,1.0,0.0,1.0,3.0,0.0,10.823058847731618
6,6.0,20.0,0.0,1.0,1.0,0.0,3.0,0.0,9.659302314439046
7,7.0,20.0,0.0,1.0,1.0,1.0,3.0,0.0,9.563972852876693
8,8.0,20.0,1.0,0.0,0.0,0.0,3.0,0.0,8.332204195811627
9,9.0,20.0,1.0,0.0,0.0,1.0,3.0,0.0,8.384196638159347
10,10.0,20.0,1.0,0.0,1.0,0.0,3.0,0.0,8.332203536065856
11,11.0,20.0,1.0,0.0,1.0,1.0,3.0,0.0,8.34941180500853
12,12.0,20.0,1.0,1.0,0.0,0.0,3.0,0.0,10.428576666192608
13,13.0,20.0,1.0,1.0,0.0,1.0,3.0,0.0,10.190089121385803
14,14.0,20.0,1.0,1.0,1.0,0.0,3.0,0.0,9.453546400866705
15,15.0,20.0,1.0,1.0,1.0,1.0,3.0,0.0,9.386337732846494
16,16.0,20.0,0.0,0.0,0.0,0.0,4.2,0.0,20.0
17,17.0,20.0,0.0,0.0,0.0,1.0,4.2,0.0,8.753721427448264
18,18.0,20.0,0.0,0.0,1.0,0.0,4.2,0.0,8.585971890148386
19,19.0,20.0,0.0,0.0,1.0,1.0,4.2,0.0,8.609278849222282
20,20.0,20.0,0.0,1.0,0.0,0.0,4.2,0.0,11.698596536766456
21,21.0,20.0,0.0,1.0,0.0,1.0,4.2,0.0,11.212553371975053
22,22.0,20.0,0.0,1.0,1.0,0.0,4.2,0.0,9.985413923040449
23,23.0,20.0,0.0,1.0,1.0,1.0,4.2,0.0,9.884859813213675
24,24.0,20.0,1.0,0.0,0.0,0.0,4.2,0.0,8.585971010081366
25,25.0,20.0,1.0,0.0,0.0,1.0,4.2,0.0,8.64068768887031
26,26.0,20.0,1.0,0.0,1.0,0.0,4.2,0.0,8.585972330014862
27,27.0,20.0,1.0,0.0,1.0,1.0,4.2,0.0,8.60408152188132
28,28.0,20.0,1.0,1.0,0.0,0.0,4.2,0.0,10.796622530794188
29,29.0,20.0,1.0,1.0,0.0,1.0,4.2,0.0,10.545092824601342
30,30.0,20.0,1.0,1.0,1.0,0.0,4.2,0.0,9.76844165402551
31,31.0,20.0,1.0,1.0,1.0,1.0,4.2,0.0,9.69754548309525
32,32.0,20.0,0.0,0.0,0.0,0.0,5.4,0.0,20.0
33,33.0,20.0,0.0,0.0,0.0,1.0,5.4,0.0,9.015835735198339
34,34.0,20.0,0.0,0.0,1.0,0.0,5.4,0.0,8.839741330871616
35,35.0,20.0,0.0,0.0,1.0,1.0,5.4,0.0,8.864207714712173
36,36.0,20.0,0.0,1.0,0.0,0.0,5.4,0.0,12.11326883167059
37,37.0,20.0,0.0,1.0,0.0,1.0,5.4,0.0,11.60204770488046
38,38.0,20.0,0.0,1.0,1.0,0.0,5.4,0.0,10.311525242484194
39,39.0,20.0,0.0,1.0,1.0,1.0,5.4,0.0,10.20574699472232
40,40.0,20.0,1.0,0.0,0.0,0.0,5.4,0.0,8.83974133088896
41,41.0,20.0,1.0,0.0,0.0,1.0,5.4,0.0,8.897179638072982
42,42.0,20.0,1.0,0.0,1.0,0.0,5.4,0.0,8.839740671113827
43,43.0,20.0,1.0,0.0,1.0,1.0,5.4,0.0,8.858751429894792
44,44.0,20.0,1.0,1.0,0.0,0.0,5.4,0.0,11.16466811357557
45,45.0,20.0,1.0,1.0,0.0,1.0,5.4,0.0,10.900096777230289
46,46.0,20.0,1.0,1.0,1.0,0.0,5.4,0.0,10.083336723377998
47,47.0,20.0,1.0,1.0,1.0,1.0,5.4,0.0,10.00875349005343
48,48.0,20.0,0.0,0.0,0.0,0.0,3.0,1.0,20.0
49,49.0,20.0,0.0,0.0,0.0,1.0,3.0,1.0,9.191674520210865
50,50.0,20.0,0.0,0.0,1.0,0.0,3.0,1.0,8.985486093164104
51,51.0,20.0,0.0,0.0,1.0,1.0,3.0,1.0,9.014024244638602
52,52.0,20.0,0.0,1.0,0.0,0.0,3.0,1.0,12.324796725259137
53,53.0,20.0,0.0,1.0,0.0,1.0,3.0,1.0,11.810027645980728
54,54.0,20.0,0.0,1.0,1.0,0.0,3.0,1.0,10.487783875370353
55,55.0,20.0,0.0,1.0,1.0,1.0,3.0,1.0,10.38243868716897
56,56.0,20.0,1.0,0.0,0.0,0.0,3.0,1.0,8.985485094837076
57,57.0,20.0,1.0,0.0,0.0,1.0,3.0,1.0,9.052540515194185
58,58.0,20.0,1.0,0.0,1.0,0.0,3.0,1.0,8.985485843582373
59,59.0,20.0,1.0,0.0,1.0,1.0,3.0,1.0,9.007656637573442
