,ID,E_Brent,NE_C1,M1_C1,M2_C1,SW_C1,costo_gel,reg_f,BE_F
0,0,20,0,0,0,0,3,0,20
1,1,20,0,0,0,1,3,0,9.190541925
2,2,20,0,0,1,0,3,0,8.303891311
3,3,20,0,0,1,1,3,0,8.427110994
4,4,20,0,1,0,0,3,0,11.22095528
5,5,20,0,1,0,1,3,0,10.88495194
6,6,20,0,1,1,0,3,0,9.616226408
7,7,20,0,1,1,1,3,0,9.581169933
8,8,20,1,0,0,0,3,0,8.303890439
9,9,20,1,0,0,1,3,0,8.593151425
10,10,20,1,0,1,0,3,0,8.303890982
11,11,20,1,0,1,1,3,0,8.399632121
12,12,20,1,1,0,0,3,0,10.37632867
13,13,20,1,1,0,1,3,0,10.22973932
14,14,20,1,1,1,0,3,0,9.41284742
15,15,20,1,1,1,1,3,0,9.3970821
16,16,20,0,0,0,0,4.2,0,20
17,17,20,0,0,0,1,4.2,0,9.450347066
18,18,20,0,0,1,0,4.2,0,8.55549317
19,19,20,0,0,1,1,4.2,0,8.67985348
20,20,20,0,1,0,0,4.2,0,11.63161084
21,21,20,0,1,0,1,4.2,0,11.27072823
22,22,20,0,1,1,0,4.2,0,9.939383762
23,23,20,0,1,1,1,4.2,0,9.899156645
24,24,20,1,0,0,0,4.2,0,8.55549317
25,25,20,1,0,0,1,4.2,0,8.847430011
26,26,20,1,0,1,0,4.2,0,8.555493076
27,27,20,1,0,1,1,4.2,0,8.652120022
28,28,20,1,1,0,0,4.2,0,10.74093092
29,29,20,1,1,0,1,4.2,0,10.58144488
30,30,20,1,1,1,0,4.2,0,9.724915753
31,31,20,1,1,1,1,4.2,0,9.705499431
32,32,20,0,0,0,0,5.4,0,20
33,33,20,0,0,0,1,5.4,0,9.710153358
34,34,20,0,0,1,0,5.4,0,8.807095003
35,35,20,0,0,1,1,5.4,0,8.932595544
36,36,20,0,1,0,0,5.4,0,12.04226583
37,37,20,0,1,0,1,5.4,0,11.65650459
38,38,20,0,1,1,0,5.4,0,10.26254126
39,39,20,0,1,1,1,5.4,0,10.21714311
40,40,20,1,0,0,0,5.4,0,8.80709413
41,41,20,1,0,0,1,5.4,0,9.10170953
42,42,20,1,0,1,0,5.4,0,8.807094785
43,43,20,1,0,1,1,5.4,0,8.904608119
44,44,20,1,1,0,0,5.4,0,11.10553276
45,45,20,1,1,0,1,5.4,0,10.9331501
46,46,20,1,1,1,0,5.4,0,10.03698386
47,47,20,1,1,1,1,5.4,0,10.01391661
