,ID,E_Brent,C_polimero,PPM,Costo_Kw_hr,reg_f,VPN_Basica_porta,VPN_incremental_porta,VPN_Basica,VPN_incremental,VPN_Total,EFI_INCREMENTAL,capex,opex_basica,opex_incremental,volumen_B_LE,volumen_I_LE,volumen_T_LE,volumen_B_LE_p,volumen_I_LE_p,volumen_T_LE_p,LE_year_p,LE_year_b,lc_p,lc_b,dc_p,dc_b,opex_ing_p,capex_ing_p,impuesto_ing_p,ingreso_ing_p,abandono_ing_p,opex_ing_b,capex_ing_b,impuesto_ing_b,ingreso_ing_b,abandono_ing_b
0,0,25,2.5,150,184,0,0,71247.7271,0,766.085,766.085,0.3306362229847282,44940.4008,0,34339.4055,0.0,10.514454128586427,10.514454128586427,0.0,10.514454128586427,10.514454128586427,2055.0,2055.0,2.9389,2.9389,3.8461,3.8461,28337.3628,42848.9909,42168.2919,184602.3727,0,28337.3628,42848.9909,13401.3465,85353.7852,0
1,1,30,2.5,150,184,0,0,71247.7271,0,15006.4503,15006.4503,0.7938843148975593,44940.4008,0,34339.4055,0.0,10.514454128586427,10.514454128586427,0.0,10.514454128586427,10.514454128586427,2055.0,2055.0,2.9389,2.9389,3.8461,3.8461,28337.3628,42848.9909,42168.2919,184602.3727,0,28337.3628,42848.9909,19010.6987,105203.5027,0
2,2,35,2.5,150,184,0,0,71247.7271,0,29118.7213,29118.7213,1.2571324068103902,44940.4008,0,34339.4055,0.0,10.514454128586427,10.514454128586427,0.0,10.514454128586427,10.514454128586427,2055.0,2055.0,2.9389,2.9389,3.8461,3.8461,28337.3628,42848.9909,42168.2919,184602.3727,0,28337.3628,42848.9909,24748.1452,125053.2202,0
3,3,40,2.5,150,184,0,0,71247.7271,0,43230.9922,43230.9922,1.7203804987232214,44940.4008,0,34339.4055,0.0,10.514454128586427,10.514454128586427,0.0,10.514454128586427,10.514454128586427,2055.0,2055.0,2.9389,2.9389,3.8461,3.8461,28337.3628,42848.9909,42168.2919,184602.3727,0,28337.3628,42848.9909,30485.5917,144902.9377,0
4,4,45,2.5,150,184,0,0,71247.7271,0,57246.3396,57246.3396,2.1836285906360517,44940.4008,0,34339.4055,0.0,10.514454128586427,10.514454128586427,0.0,10.514454128586427,10.514454128586427,2055.0,2055.0,2.9389,2.9389,3.8461,3.8461,28337.3628,42848.9909,42168.2919,184602.3727,0,28337.3628,42848.9909,36319.9619,164752.6552,0
5,5,50,2.5,150,184,0,0,71247.7271,0,71247.7271,71247.7271,2.646876682548884,44940.4008,0,34339.4055,0.0,10.514454128586427,10.514454128586427,0.0,10.514454128586427,10.514454128586427,2055.0,2055.0,2.9389,2.9389,3.8461,3.8461,28337.3628,42848.9909,42168.2919,184602.3727,0,28337.3628,42848.9909,42168.2919,184602.3727,0
6,6,55,2.5,150,184,0,0,71247.7271,0,85191.0034,85191.0034,3.1101247744617146,44940.4008,0,34339.4055,0.0,10.514454128586427,10.514454128586427,0.0,10.514454128586427,10.514454128586427,2055.0,2055.0,2.9389,2.9389,3.8461,3.8461,28337.3628,42848.9909,42168.2919,184602.3727,0,28337.3628,42848.9909,48074.7331,204452.0902,0
7,7,60,2.5,150,184,0,0,71247.7271,0,99134.2797,99134.2797,3.5733728663745454,44940.4008,0,34339.4055,0.0,10.514454128586427,10.514454128586427,0.0,10.514454128586427,10.514454128586427,2055.0,2055.0,2.9389,2.9389,3.8461,3.8461,28337.3628,42848.9909,42168.2919,184602.3727,0,28337.3628,42848.9909,53981.1743,224301.8076,0
8,8,25,2.5,150,244,0,0,68551.2498,0,-2135.1915,-2135.1915,0.24544439181297803,44940.4008,0,38731.5666,0.0,10.514454128586427,10.514454128586427,0.0,10.514454128586427,10.514454128586427,2055.0,2055.0,3.3148,3.3148,3.8461,3.8461,31987.7475,42848.9909,41214.3844,184602.3727,0,31987.7475,42848.9909,12652.2383,85353.7852,0
9,9,30,2.5,150,244,0,0,68551.2498,0,12143.0035,12143.0035,0.7086924837258092,44940.4008,0,38731.5666,0.0,10.514454128586427,10.514454128586427,0.0,10.514454128586427,10.514454128586427,2055.0,2055.0,3.3148,3.3148,3.8461,3.8461,31987.7475,42848.9909,41214.3844,184602.3727,0,31987.7475,42848.9909,18223.7607,105203.5027,0
