,ID,E_Brent,C_polimero,PPM,Costo_Kw_hr,reg_f,VPN_Basica_porta,VPN_incremental_porta,VPN_Basica,VPN_incremental,VPN_Total,EFI_INCREMENTAL,capex,opex_basica,opex_incremental,volumen_B_LE,volumen_I_LE,volumen_T_LE,volumen_B_LE_p,volumen_I_LE_p,volumen_T_LE_p,LE_year_p,LE_year_b,lc_p,lc_b,dc_p,dc_b,opex_ing_p,capex_ing_p,impuesto_ing_p,ingreso_ing_p,abandono_ing_p,opex_ing_b,capex_ing_b,impuesto_ing_b,ingreso_ing_b,abandono_ing_b
0,0,25,2.5,150,184,0,0,13960.4422,0,-3681.143,-3681.143,0.0,16666.1,0,8358.6288,0.0,2.097682076488437,2.097682076488437,0.0,2.097682076488437,2.097682076488437,2046.0,2046.0,3.5869,3.5869,7.1519,7.1519,6945.5023,15890.5029,9468.7973,46265.2446,0,6945.5023,15890.5029,2236.5951,21391.4572,0
1,1,30,2.5,150,184,0,0,13960.4422,0,-102.3222,-102.3222,0.22215150547490456,16666.1,0,8358.6288,0.0,2.097682076488437,2.097682076488437,0.0,2.097682076488437,2.097682076488437,2046.0,2046.0,3.5869,3.5869,7.1519,7.1519,6945.5023,15890.5029,9468.7973,46265.2446,0,6945.5023,15890.5029,3632.5317,26366.2147,0
2,2,35,2.5,150,184,0,0,13960.4422,0,3445.5501,3445.5501,0.5352065359322558,16666.1,0,8358.6288,0.0,2.097682076488437,2.097682076488437,0.0,2.097682076488437,2.097682076488437,2046.0,2046.0,3.5869,3.5869,7.1519,7.1519,6945.5023,15890.5029,9468.7973,46265.2446,0,6945.5023,15890.5029,5059.417,31340.9722,0
3,3,40,2.5,150,184,0,0,13960.4422,0,6964.8905,6964.8905,0.848261566389607,16666.1,0,8358.6288,0.0,2.097682076488437,2.097682076488437,0.0,2.097682076488437,2.097682076488437,2046.0,2046.0,3.5869,3.5869,7.1519,7.1519,6945.5023,15890.5029,9468.7973,46265.2446,0,6945.5023,15890.5029,6514.834,36315.7297,0
4,4,45,2.5,150,184,0,0,13960.4422,0,10467.0238,10467.0238,1.1613165968469583,16666.1,0,8358.6288,0.0,2.097682076488437,2.097682076488437,0.0,2.097682076488437,2.097682076488437,2046.0,2046.0,3.5869,3.5869,7.1519,7.1519,6945.5023,15890.5029,9468.7973,46265.2446,0,6945.5023,15890.5029,7987.4583,41290.4872,0
5,5,50,2.5,150,184,0,0,13960.4422,0,13960.4422,13960.4422,1.47437162730431,16666.1,0,8358.6288,0.0,2.097682076488437,2.097682076488437,0.0,2.097682076488437,2.097682076488437,2046.0,2046.0,3.5869,3.5869,7.1519,7.1519,6945.5023,15890.5029,9468.7973,46265.2446,0,6945.5023,15890.5029,9468.7973,46265.2446,0
6,6,55,2.5,150,184,0,0,13960.4422,0,17448.384,17448.384,1.787426657761661,16666.1,0,8358.6288,0.0,2.097682076488437,2.097682076488437,0.0,2.097682076488437,2.097682076488437,2046.0,2046.0,3.5869,3.5869,7.1519,7.1519,6945.5023,15890.5029,9468.7973,46265.2446,0,6945.5023,15890.5029,10955.613,51240.0021,0
7,7,60,2.5,150,184,0,0,13960.4422,0,20936.3257,20936.3257,2.1004816882190127,16666.1,0,8358.6288,0.0,2.097682076488437,2.097682076488437,0.0,2.097682076488437,2.097682076488437,2046.0,2046.0,3.5869,3.5869,7.1519,7.1519,6945.5023,15890.5029,9468.7973,46265.2446,0,6945.5023,15890.5029,12442.4288,56214.7596,0
8,8,25,2.5,150,244,0,0,13673.3103,0,-4000.1161,-4000.1161,0.0,16666.1,0,8846.6371,0.0,2.097682076488437,2.097682076488437,0.0,2.097682076488437,2.097682076488437,2046.0,2046.0,3.7963,3.7963,7.1519,7.1519,7351.1493,15890.5029,9350.2822,46265.2446,0,7351.1493,15890.5029,2149.9211,21391.4572,0
9,9,30,2.5,150,244,0,0,13673.3103,0,-412.6278,-412.6278,0.19662466514874943,16666.1,0,8846.6371,0.0,2.097682076488437,2.097682076488437,0.0,2.097682076488437,2.097682076488437,2046.0,2046.0,3.7963,3.7963,7.1519,7.1519,7351.1493,15890.5029,9350.2822,46265.2446,0,7351.1493,15890.5029,3537.1904,26366.2147,0
