,ID,E_Brent,C_polimero,PPM,Costo_Kw_hr,reg_f,piloto,D_G,D_GSW,Oil,Gas_Prod,Gross_Fluid,Water_Injected,Producer_Well,Water_Injection_Well,total_opex,Perforacion,Facilidades,Abandono,total_capex,VPN_Total,volumen_T_LE_p,Payout
0,0,50,3.2,550,244,0,0,1,1,68.278,27.9399,0,19110.8645,0,2144.82,21351.9024,0,6378.1,0,6378.1,17096.9885,2143.851714330471,8.0
1,1,50,3.2,650,244,0,0,1,1,68.278,27.9399,0,19963.9765,0,2144.82,22205.0144,0,6378.1,0,6378.1,16672.6437,2143.851714330471,8.0
2,2,50,3.2,750,244,0,0,1,1,68.278,27.9399,0,20817.0886,0,2144.82,23058.1265,0,6378.1,0,6378.1,16248.299,2143.851714330471,8.0
3,3,50,3.2,550,244,1,0,1,1,68.278,27.9399,0,19110.8645,0,2144.82,21351.9024,0,6378.1,0,6378.1,13107.0491,1910.4143550613442,8.0
4,4,50,3.2,650,244,1,0,1,1,68.278,27.9399,0,19963.9765,0,2144.82,22205.0144,0,6378.1,0,6378.1,12682.7043,1910.4143550613442,9.0
5,5,50,3.2,750,244,1,0,1,1,68.278,27.9399,0,20817.0886,0,2144.82,23058.1265,0,6378.1,0,6378.1,12258.3595,1910.4143550613442,9.0
6,6,50,3.2,550,244,0,1,1,1,68.278,27.9399,0,19110.8645,0,2144.82,21351.9024,11680,6378.1,0,18058.1,7578.4452,2143.851714330471,11.0
7,7,50,3.2,650,244,0,1,1,1,68.278,27.9399,0,19963.9765,0,2144.82,22205.0144,11680,6378.1,0,18058.1,7154.1004,2143.851714330471,11.0
8,8,50,3.2,750,244,0,1,1,1,68.278,27.9399,0,20817.0886,0,2144.82,23058.1265,11680,6378.1,0,18058.1,6729.7557,2143.851714330471,11.0
9,9,50,3.2,550,244,1,1,1,1,68.278,27.9399,0,19110.8645,0,2144.82,21351.9024,11680,6378.1,0,18058.1,3579.8468,1910.4143550613442,12.0
10,10,50,3.2,650,244,1,1,1,1,68.278,27.9399,0,19963.9765,0,2144.82,22205.0144,11680,6378.1,0,18058.1,3148.7649,1910.4143550613442,12.0
11,11,50,3.2,750,244,1,1,1,1,68.278,27.9399,0,20817.0886,0,2144.82,23058.1265,11680,6378.1,0,18058.1,2717.6829,1910.4143550613442,12.0
12,12,50,3.2,550,244,0,0,1,0,45.0923,18.5098,0,18939.3439,0,1143.904,20146.8501,0,2191.83,0,2191.83,7584.0351,1417.6519393531073,11.0
13,13,50,3.2,650,244,0,0,1,0,45.0923,18.5098,0,19726.2467,0,1143.904,20933.7529,0,2191.83,0,2191.83,7165.0905,1417.6519393531073,11.0
14,14,50,3.2,750,244,0,0,1,0,45.0923,18.5098,0,20513.1495,0,1143.904,21720.6557,0,2191.83,0,2191.83,6740.641,1417.6519393531073,12.0
15,15,50,3.2,550,244,1,0,1,0,45.0923,18.5098,0,18939.3439,0,1143.904,20146.8501,0,2191.83,0,2191.83,5236.0127,1277.3599802962854,12.0
16,16,50,3.2,650,244,1,0,1,0,45.0923,18.5098,0,19726.2467,0,1143.904,20933.7529,0,2191.83,0,2191.83,4794.5413,1277.3599802962854,12.0
17,17,50,3.2,750,244,1,0,1,0,45.0923,18.5098,0,20513.1495,0,1143.904,21720.6557,0,2191.83,0,2191.83,4349.4883,1277.3599802962854,12.0
18,18,50,3.2,550,244,0,1,1,0,45.0923,18.5098,0,18939.3439,0,1143.904,20146.8501,4740,2191.83,0,6931.83,3598.0762,1417.6519393531073,13.0
19,19,50,3.2,650,244,0,1,1,0,45.0923,18.5098,0,19726.2467,0,1143.904,20933.7529,4740,2191.83,0,6931.83,3168.8467,1417.6519393531073,13.0
20,20,50,3.2,750,244,0,1,1,0,45.0923,18.5098,0,20513.1495,0,1143.904,21720.6557,4740,2191.83,0,6931.83,2734.2941,1417.6519393531073,13.0
21,21,50,3.2,550,244,1,1,1,0,45.0923,18.5098,0,18939.3439,0,1143.904,20146.8501,4740,2191.83,0,6931.83,1205.1427,1277.3599802962854,13.0
22,22,50,3.2,650,244,1,1,1,0,45.0923,18.5098,0,19726.2467,0,1143.904,20933.7529,4740,2191.83,0,6931.83,760.0897,1277.3599802962854,14.0
23,23,50,3.2,750,244,1,1,1,0,45.0923,18.5098,0,20513.1495,0,1143.904,21720.6557,4740,2191.83,0,6931.83,315.0367,1277.3599802962854,14.0
24,24,50,3.2,550,244,0,0,0,1,23.1856,9.4301,0,12896.7503,0,1000.916,13930.282,0,4186.27,0,4186.27,2893.1664,726.1997749773647,9.0
25,25,50,3.2,650,244,0,0,0,1,23.1856,9.4301,0,12962.9595,0,1000.916,13996.4913,0,4186.27,0,4186.27,2860.6204,726.1997749773647,9.0
26,26,50,3.2,750,244,0,0,0,1,23.1856,9.4301,0,13029.1688,0,1000.916,14062.7005,0,4186.27,0,4186.27,2828.0743,726.1997749773647,9.0
27,27,50,3.2,550,244,1,0,0,1,23.1856,9.4301,0,12896.7503,0,1000.916,13930.282,0,4186.27,0,4186.27,1119.3943,633.0543747650586,11.0
28,28,50,3.2,650,244,1,0,0,1,23.1856,9.4301,0,12962.9595,0,1000.916,13996.4913,0,4186.27,0,4186.27,1086.2917,633.0543747650586,11.0
29,29,50,3.2,750,244,1,0,0,1,23.1856,9.4301,0,13029.1688,0,1000.916,14062.7005,0,4186.27,0,4186.27,1053.1892,633.0543747650586,11.0
30,30,50,3.2,550,244,0,1,0,1,23.1856,9.4301,0,12896.7503,0,1000.916,13930.282,6940,4186.27,0,11126.27,-2620.8267,726.1997749773647,13.0
31,31,50,3.2,650,244,0,1,0,1,23.1856,9.4301,0,12962.9595,0,1000.916,13996.4913,6940,4186.27,0,11126.27,-2656.4283,726.1997749773647,13.0
32,32,50,3.2,750,244,0,1,0,1,23.1856,9.4301,0,13029.1688,0,1000.916,14062.7005,6940,4186.27,0,11126.27,-2692.0298,726.1997749773647,13.0
