,ID,E_Brent,C_polimero,PPM,Costo_Kw_hr,reg_f,piloto,D_G,D_GSW,Oil,Gas_Prod,Gross_Fluid,Water_Injected,Producer_Well,Water_Injection_Well,total_opex,Perforacion,Facilidades,Abandono,total_capex,VPN_Total,volumen_T_LE_p,Payout
0,0,50,3.2,550,244,0,0,1,1,68.278,27.9399,0,20677.1255,0,2144.82,22918.1634,0,6378.1,0,6378.1,16458.4136,2190.0510626442397,8.0
1,1,50,3.2,650,244,0,0,1,1,68.278,27.9399,0,21854.9286,0,2144.82,24095.9665,0,6378.1,0,6378.1,15862.4909,2190.0510626442397,8.0
2,2,50,3.2,750,244,0,0,1,1,68.278,27.9399,0,23032.7318,0,2144.82,25273.7697,0,6378.1,0,6378.1,15266.5681,2190.0510626442397,8.0
3,3,50,3.2,550,244,0,1,1,1,68.278,27.9399,0,20677.1255,0,2144.82,22918.1634,6940,6378.1,0,13318.1,10802.7038,2190.0510626442397,10.0
4,4,50,3.2,650,244,0,1,1,1,68.278,27.9399,0,21854.9286,0,2144.82,24095.9665,6940,6378.1,0,13318.1,10206.7811,2190.0510626442397,10.0
5,5,50,3.2,750,244,0,1,1,1,68.278,27.9399,0,23032.7318,0,2144.82,25273.7697,6940,6378.1,0,13318.1,9604.8898,2190.0510626442397,10.0
6,6,50,3.2,550,244,0,0,1,0,45.0923,18.5098,0,18939.3439,0,1143.904,20146.8501,0,2191.83,0,2191.83,7837.2742,1462.038531664423,11.0
7,7,50,3.2,650,244,0,0,1,0,45.0923,18.5098,0,19726.2467,0,1143.904,20933.7529,0,2191.83,0,2191.83,7418.3296,1462.038531664423,11.0
8,8,50,3.2,750,244,0,0,1,0,45.0923,18.5098,0,20513.1495,0,1143.904,21720.6557,0,2191.83,0,2191.83,6993.88,1462.038531664423,12.0
9,9,50,3.2,550,244,0,1,1,0,45.0923,18.5098,0,18939.3439,0,1143.904,20146.8501,0,2191.83,0,2191.83,7837.2742,1462.038531664423,11.0
10,10,50,3.2,650,244,0,1,1,0,45.0923,18.5098,0,19726.2467,0,1143.904,20933.7529,0,2191.83,0,2191.83,7418.3296,1462.038531664423,11.0
11,11,50,3.2,750,244,0,1,1,0,45.0923,18.5098,0,20513.1495,0,1143.904,21720.6557,0,2191.83,0,2191.83,6993.88,1462.038531664423,12.0
12,12,50,3.2,550,244,0,0,0,1,23.1856,9.4301,0,14762.7096,0,1000.916,15796.2413,0,4186.27,0,4186.27,1891.8233,728.0125309798175,10.0
13,13,50,3.2,650,244,0,0,0,1,23.1856,9.4301,0,15153.6099,0,1000.916,16187.1416,0,4186.27,0,4186.27,1680.1514,728.0125309798175,11.0
14,14,50,3.2,750,244,0,0,0,1,23.1856,9.4301,0,15544.5102,0,1000.916,16578.042,0,4186.27,0,4186.27,1468.4795,728.0125309798175,11.0
15,15,50,3.2,550,244,0,1,0,1,23.1856,9.4301,0,14762.7096,0,1000.916,15796.2413,6940,4186.27,0,11126.27,-3711.9949,728.0125309798175,13.0
16,16,50,3.2,650,244,0,1,0,1,23.1856,9.4301,0,15153.6099,0,1000.916,16187.1416,6940,4186.27,0,11126.27,-3944.9919,728.0125309798175,14.0
17,17,50,3.2,750,244,0,1,0,1,23.1856,9.4301,0,15544.5102,0,1000.916,16578.042,6940,4186.27,0,11126.27,-4177.9889,728.0125309798175,14.0
