,ID,E_Brent,C_polimero,PPM,Costo_Kw_hr,capex_h,opex_h,costo_polim_h,PPM_h,Costo_Kw_hr_h,produc_h,reg_f,VPN_Basica_porta,VPN_incremental_porta,VPN_Basica,VPN_incremental,VPN_Total,EFI_INCREMENTAL,capex,opex_basica,opex_incremental,volumen_B_LE,volumen_I_LE,volumen_T_LE,volumen_B_LE_p,volumen_I_LE_p,volumen_T_LE_p,LE_year_p,LE_year_b,lc_p,lc_b,dc_p,dc_b,opex_ing_p,capex_ing_p,impuesto_ing_p,ingreso_ing_p,abandono_ing_p,opex_ing_b,capex_ing_b,impuesto_ing_b,ingreso_ing_b,abandono_ing_b
0,0,50,3.2,650,244,0.9,1,1,1,1,1,0,0,4884.3094,0,4884.3094,4884.3094,0.4661398336527757,47354.3107,0,218171.2994,0.0,10.42989409283845,10.42989409283845,0.0,10.42989409283845,10.42989409283845,2055.0,2055.0,17.2912,17.2912,4.0733,4.0733,109155.083,45150.5637,16162.3702,175352.3264,0,109155.083,45150.5637,16162.3702,175352.3264,0
1,1,50,3.2,650,244,1.1,1,1,1,1,1,0,0,-4152.1224,0,-4152.1224,-4152.1224,0.19957272079454239,57877.4909,0,218171.2994,0.0,10.42989409283845,10.42989409283845,0.0,10.42989409283845,10.42989409283845,2055.0,2055.0,17.2912,17.2912,4.9785,4.9785,109155.083,55184.0223,15165.3435,175352.3264,0,109155.083,55184.0223,15165.3435,175352.3264,0
2,2,50,3.2,650,244,1,0.9,1,1,1,1,0,0,751.1753,0,751.1753,751.1753,0.32967298268671946,52615.9008,0,217145.1603,0.0,10.42989409283845,10.42989409283845,0.0,10.42989409283845,10.42989409283845,2055.0,2055.0,17.2098,17.2098,4.5259,4.5259,108646.3288,50167.293,15787.5293,175352.3264,0,108646.3288,50167.293,15787.5293,175352.3264,0
3,3,50,3.2,650,244,1,1.1,1,1,1,1,0,0,-18.9883,0,-18.9883,-18.9883,0.3093905581585074,52615.9008,0,219197.4384,0.0,10.42989409283845,10.42989409283845,0.0,10.42989409283845,10.42989409283845,2055.0,2055.0,17.3727,17.3727,4.5259,4.5259,109663.8372,50167.293,15540.1844,175352.3264,0,109663.8372,50167.293,15540.1844,175352.3264,0
4,4,50,3.2,650,244,1,1,1,1,1,0.9,0,0,-4188.7318,0,-4188.7318,-4188.7318,0.18757800928193624,52615.9008,0,196354.1694,0.0,9.386904683554608,9.386904683554608,0.0,9.386904683554608,9.386904683554608,2055.0,2055.0,17.2912,17.2912,5.0288,5.0288,98239.5747,50167.293,13598.9578,157817.0937,0,98239.5747,50167.293,13598.9578,157817.0937,0
5,5,50,3.2,650,244,1,1,1,1,1,1.1,0,0,4920.9188,0,4920.9188,4920.9188,0.45148553156329085,52615.9008,0,239988.4293,0.0,11.4728835021223,11.4728835021223,0.0,11.4728835021223,11.4728835021223,2055.0,2055.0,17.2912,17.2912,4.1145,4.1145,120070.5913,50167.293,17728.7559,192887.559,0,120070.5913,50167.293,17728.7559,192887.559,0
6,6,50,3.2,650,244,1,1,0.9,1,1,1,0,0,4511.2479,0,4511.2479,4511.2479,0.4296132859597412,52615.9008,0,207173.7342,0.0,10.42989409283845,10.42989409283845,0.0,10.42989409283845,10.42989409283845,2055.0,2055.0,16.4214,16.4214,4.5259,4.5259,103632.6236,50167.293,17041.1618,175352.3264,0,103632.6236,50167.293,17041.1618,175352.3264,0
7,7,50,3.2,650,244,1,1,1.1,1,1,1,0,0,-3818.4614,0,-3818.4614,-3818.4614,0.20945025488548497,52615.9008,0,229168.8645,0.0,10.42989409283845,10.42989409283845,0.0,10.42989409283845,10.42989409283845,2055.0,2055.0,18.1611,18.1611,4.5259,4.5259,114677.5424,50167.293,14325.9523,175352.3264,0,114677.5424,50167.293,14325.9523,175352.3264,0
8,8,50,3.2,650,244,1,1,1,0.9,1,1,0,0,4511.2479,0,4511.2479,4511.2479,0.4296132859597412,52615.9008,0,207173.7342,0.0,10.42989409283845,10.42989409283845,0.0,10.42989409283845,10.42989409283845,2055.0,2055.0,16.4214,16.4214,4.5259,4.5259,103632.6236,50167.293,17041.1618,175352.3264,0,103632.6236,50167.293,17041.1618,175352.3264,0
9,9,50,3.2,650,244,1,1,1,1.1,1,1,0,0,-3818.4614,0,-3818.4614,-3818.4614,0.20945025488548497,52615.9008,0,229168.8645,0.0,10.42989409283845,10.42989409283845,0.0,10.42989409283845,10.42989409283845,2055.0,2055.0,18.1611,18.1611,4.5259,4.5259,114677.5424,50167.293,14325.9523,175352.3264,0,114677.5424,50167.293,14325.9523,175352.3264,0
10,10,50,3.2,650,244,1,1,1,1,0.9,1,0,0,2556.9475,0,2556.9475,2556.9475,0.3773608543164481,52615.9008,0,212366.5749,0.0,10.42989409283845,10.42989409283845,0.0,10.42989409283845,10.42989409283845,2055.0,2055.0,16.8303,16.8303,4.5259,4.5259,106253.9714,50167.293,16374.1145,175352.3264,0,106253.9714,50167.293,16374.1145,175352.3264,0
