,ID,E_Brent,C_polimero,PPM,Costo_Kw_hr,capex_h,opex_h,costo_polim_h,PPM_h,Costo_Kw_hr_h,produc_h,piloto,D_G,D_GSW,reg_f,VPN_Basica_porta,VPN_incremental_porta,VPN_Basica,VPN_incremental,VPN_Total,EFI_INCREMENTAL,capex,opex_basica,opex_incremental,volumen_B_LE,volumen_I_LE,volumen_T_LE,volumen_B_LE_p,volumen_I_LE_p,volumen_T_LE_p,LE_year_p,LE_year_b,lc_p,lc_b,dc_p,dc_b,opex_ing_p,capex_ing_p,impuesto_ing_p,ingreso_ing_p,abandono_ing_p,opex_ing_b,capex_ing_b,impuesto_ing_b,ingreso_ing_b,abandono_ing_b
0,0,50,3.2,550,244,0.9,1,1,1,1,1,0,1,1,0,0,17275.6103,0,15685.9177,15685.9177,4.041836265518915,6158.917,0,21351.9024,0.0,2.143851714330471,2.143851714330471,0.0,2.143851714330471,2.143851714330471,2046.0,2046.0,9.1627,9.1627,2.643,2.643,14983.7077,5872.2969,8717.1404,46848.7553,0,14983.7077,5872.2969,8047.7448,44589.6672,0
1,1,50,3.2,550,244,1.1,1,1,1,1,1,0,1,1,0,0,16918.3667,0,15328.6741,15328.6741,3.7067880714991794,6597.283,0,21351.9024,0.0,2.143851714330471,2.143851714330471,0.0,2.143851714330471,2.143851714330471,2046.0,2046.0,9.1627,9.1627,2.8311,2.8311,14983.7077,6290.2625,8656.4184,46848.7553,0,14983.7077,6290.2625,7987.0229,44589.6672,0
2,2,50,3.2,550,244,1,0.9,1,1,1,1,0,1,1,0,0,17124.8436,0,15535.151,15535.151,3.87499025179334,6378.1,0,21292.7179,0.0,2.143851714330471,2.143851714330471,0.0,2.143851714330471,2.143851714330471,2046.0,2046.0,9.1373,9.1373,2.737,2.737,14944.5717,6081.2797,8698.0603,46848.7553,0,14944.5717,6081.2797,8028.6647,44589.6672,0
3,3,50,3.2,550,244,1,1.1,1,1,1,1,0,1,1,0,0,17069.1334,0,15479.4408,15479.4408,3.862118697533566,6378.1,0,21411.0869,0.0,2.143851714330471,2.143851714330471,0.0,2.143851714330471,2.143851714330471,2046.0,2046.0,9.1881,9.1881,2.737,2.737,15022.8436,6081.2797,8675.4985,46848.7553,0,15022.8436,6081.2797,8006.103,44589.6672,0
4,4,50,3.2,550,244,1,1,1,1,1,0.9,0,1,1,0,0,14867.5104,0,13436.787,13436.787,3.381694426959198,6378.1,0,19216.7122,0.0,1.9294665428974245,1.9294665428974245,0.0,1.9294665428974245,1.9294665428974245,2046.0,2046.0,9.1627,9.1627,3.0411,3.0411,13485.3369,6081.2797,7729.7528,42163.8798,0,13485.3369,6081.2797,7127.2968,40130.7005,0
5,5,50,3.2,550,244,1,1,1,1,1,1.1,0,1,1,0,0,19326.4666,0,17577.8048,17577.8048,4.355414522367709,6378.1,0,23487.0926,0.0,2.3582368857635188,2.3582368857635188,0.0,2.3582368857635188,2.3582368857635188,2046.0,2046.0,9.1627,9.1627,2.4882,2.4882,16482.0784,6081.2797,9643.806,51533.6308,0,16482.0784,6081.2797,8907.4709,49048.6339,0
6,6,50,3.2,550,244,1,1,0.9,1,1,1,0,1,1,0,0,17329.9512,0,15740.6855,15740.6855,3.92240370405846,6378.1,0,20882.6908,0.0,2.143851714330471,2.143851714330471,0.0,2.143851714330471,2.143851714330471,2046.0,2046.0,8.9614,8.9614,2.737,2.737,14656.2505,6081.2797,8781.2738,46848.7553,0,14656.2505,6081.2797,8111.4514,44589.6672,0
7,7,50,3.2,550,244,1,1,1.1,1,1,1,0,1,1,0,0,16863.5989,0,15273.9063,15273.9063,3.8147052452684447,6378.1,0,21821.114,0.0,2.143851714330471,2.143851714330471,0.0,2.143851714330471,2.143851714330471,2046.0,2046.0,9.3641,9.3641,2.737,2.737,15311.1648,6081.2797,8592.7119,46848.7553,0,15311.1648,6081.2797,7923.3163,44589.6672,0
8,8,50,3.2,550,244,1,1,1,0.9,1,1,0,1,1,0,0,17329.9512,0,15740.6855,15740.6855,3.92240370405846,6378.1,0,20882.6908,0.0,2.143851714330471,2.143851714330471,0.0,2.143851714330471,2.143851714330471,2046.0,2046.0,8.9614,8.9614,2.737,2.737,14656.2505,6081.2797,8781.2738,46848.7553,0,14656.2505,6081.2797,8111.4514,44589.6672,0
9,9,50,3.2,550,244,1,1,1,1.1,1,1,0,1,1,0,0,16863.5989,0,15273.9063,15273.9063,3.8147052452684447,6378.1,0,21821.114,0.0,2.143851714330471,2.143851714330471,0.0,2.143851714330471,2.143851714330471,2046.0,2046.0,9.3641,9.3641,2.737,2.737,15311.1648,6081.2797,8592.7119,46848.7553,0,15311.1648,6081.2797,7923.3163,44589.6672,0
