,ID,E_Brent,C_polimero,PPM,Costo_Kw_hr,capex_h,opex_h,costo_polim_h,PPM_h,Costo_Kw_hr_h,produc_h,piloto,D_G,D_GSW,reg_f,VPN_Basica_porta,VPN_incremental_porta,VPN_Basica,VPN_incremental,VPN_Total,EFI_INCREMENTAL,capex,opex_basica,opex_incremental,volumen_B_LE,volumen_I_LE,volumen_T_LE,volumen_B_LE_p,volumen_I_LE_p,volumen_T_LE_p,LE_year_p,LE_year_b,lc_p,lc_b,dc_p,dc_b,opex_ing_p,capex_ing_p,impuesto_ing_p,ingreso_ing_p,abandono_ing_p,opex_ing_b,capex_ing_b,impuesto_ing_b,ingreso_ing_b,abandono_ing_b
0,0,50,3.2,550,244,0.9,1,1,1,1,1,0,1,1,0,0,17540.4969,0,15915.1747,15915.1747,4.097611116269211,6158.917,0,21351.9024,0.0,2.1900510626442395,2.1900510626442395,0.0,2.1900510626442395,2.1900510626442395,2046.0,2046.0,9.1627,9.1627,2.643,2.643,14983.7077,5872.2969,8830.6632,47227.1647,0,14983.7077,5872.2969,8145.9978,44917.1771,0
1,1,50,3.2,550,244,1.1,1,1,1,1,1,0,1,1,0,0,17183.2532,0,15557.931,15557.931,3.758856421833955,6597.283,0,21351.9024,0.0,2.1900510626442395,2.1900510626442395,0.0,2.1900510626442395,2.1900510626442395,2046.0,2046.0,9.1627,9.1627,2.8311,2.8311,14983.7077,6290.2625,8769.9412,47227.1647,0,14983.7077,6290.2625,8085.2759,44917.1771,0
2,2,50,3.2,550,244,1,0.9,1,1,1,1,0,1,1,0,0,17389.7301,0,15764.4079,15764.4079,3.928848157336135,6378.1,0,21292.7179,0.0,2.1900510626442395,2.1900510626442395,0.0,2.1900510626442395,2.1900510626442395,2046.0,2046.0,9.1373,9.1373,2.737,2.737,14944.5717,6081.2797,8811.5831,47227.1647,0,14944.5717,6081.2797,8126.9177,44917.1771,0
3,3,50,3.2,550,244,1,1.1,1,1,1,1,0,1,1,0,0,17334.02,0,15708.6978,15708.6978,3.915976603076362,6378.1,0,21411.0869,0.0,2.1900510626442395,2.1900510626442395,0.0,2.1900510626442395,2.1900510626442395,2046.0,2046.0,9.1881,9.1881,2.737,2.737,15022.8436,6081.2797,8789.0213,47227.1647,0,15022.8436,6081.2797,8104.356,44917.1771,0
4,4,50,3.2,550,244,1,1,1,1,1,0.9,0,1,1,0,0,15105.9082,0,13643.1183,13643.1183,3.430166541947714,6378.1,0,19216.7122,0.0,1.9710459563798162,1.9710459563798162,0.0,1.9710459563798162,1.9710459563798162,2046.0,2046.0,9.1627,9.1627,3.0411,3.0411,13485.3369,6081.2797,7831.9233,42504.4482,0,13485.3369,6081.2797,7215.7245,40425.4594,0
5,5,50,3.2,550,244,1,1,1,1,1,1.1,0,1,1,0,0,19617.8418,0,17829.9874,17829.9874,4.4146582184647825,6378.1,0,23487.0926,0.0,2.4090561689086645,2.4090561689086645,0.0,2.4090561689086645,2.4090561689086645,2046.0,2046.0,9.1627,9.1627,2.4882,2.4882,16482.0784,6081.2797,9768.6811,51949.8811,0,16482.0784,6081.2797,9015.5492,49408.8948,0
6,6,50,3.2,550,244,1,1,0.9,1,1,1,0,1,1,0,0,17594.8378,0,15969.9425,15969.9425,3.9762616096012553,6378.1,0,20882.6908,0.0,2.1900510626442395,2.1900510626442395,0.0,2.1900510626442395,2.1900510626442395,2046.0,2046.0,8.9614,8.9614,2.737,2.737,14656.2505,6081.2797,8894.7966,47227.1647,0,14656.2505,6081.2797,8209.7044,44917.1771,0
7,7,50,3.2,550,244,1,1,1.1,1,1,1,0,1,1,0,0,17128.4854,0,15503.1632,15503.1632,3.86856315081124,6378.1,0,21821.114,0.0,2.1900510626442395,2.1900510626442395,0.0,2.1900510626442395,2.1900510626442395,2046.0,2046.0,9.3641,9.3641,2.737,2.737,15311.1648,6081.2797,8706.2347,47227.1647,0,15311.1648,6081.2797,8021.5693,44917.1771,0
8,8,50,3.2,550,244,1,1,1,0.9,1,1,0,1,1,0,0,17594.8378,0,15969.9425,15969.9425,3.9762616096012553,6378.1,0,20882.6908,0.0,2.1900510626442395,2.1900510626442395,0.0,2.1900510626442395,2.1900510626442395,2046.0,2046.0,8.9614,8.9614,2.737,2.737,14656.2505,6081.2797,8894.7966,47227.1647,0,14656.2505,6081.2797,8209.7044,44917.1771,0
9,9,50,3.2,550,244,1,1,1,1.1,1,1,0,1,1,0,0,17128.4854,0,15503.1632,15503.1632,3.86856315081124,6378.1,0,21821.114,0.0,2.1900510626442395,2.1900510626442395,0.0,2.1900510626442395,2.1900510626442395,2046.0,2046.0,9.3641,9.3641,2.737,2.737,15311.1648,6081.2797,8706.2347,47227.1647,0,15311.1648,6081.2797,8021.5693,44917.1771,0
