,ID,E_Brent,C_polimero,PPM,Costo_Kw_hr,capex_h,opex_h,costo_polim_h,PPM_h,Costo_Kw_hr_h,produc_h,VPN_Basica_porta,VPN_incremental_porta,VPN_Basica,VPN_incremental,VPN_Total,EFI_INCREMENTAL,capex,opex_basica,opex_incremental,volumen_B_LE,volumen_I_LE,volumen_T_LE,volumen_B_LE_p,volumen_I_LE_p,volumen_T_LE_p,LE_year_p,LE_year_b,lc_p,lc_b,dc_p,dc_b,opex_ing_p,capex_ing_p,impuesto_ing_p,ingreso_ing_p,abandono_ing_p,opex_ing_b,capex_ing_b,impuesto_ing_b,ingreso_ing_b,abandono_ing_b
0,0,50,3.2,700,244,0.9,1,1,1,1,1,0,9370.4421,0,9370.4421,9370.4421,1.1645267232513565,14999.49,0,11558.4775,0.0,1.8642447172193097,1.8642447172193097,0.0,1.8642447172193097,1.8642447172193097,2046.0,2046.0,4.9601,4.9601,6.4367,6.4367,9604.5807,14301.4526,7283.4546,40559.9299,0,9604.5807,14301.4526,7283.4546,40559.9299,0
1,1,50,3.2,700,244,1.1,1,1,1,1,1,0,6646.1382,0,6646.1382,6646.1382,0.7709265501997972,18332.71,0,11558.4775,0.0,1.8642447172193097,1.8642447172193097,0.0,1.8642447172193097,1.8642447172193097,2046.0,2046.0,4.9601,4.9601,7.8671,7.8671,9604.5807,17479.5531,6829.6579,40559.9299,0,9604.5807,17479.5531,6829.6579,40559.9299,0
2,2,50,3.2,700,244,1,0.9,1,1,1,1,0,8028.137,0,8028.137,8028.137,0.9497082089311721,16666.1,0,11521.819,0.0,1.8642447172193097,1.8642447172193097,0.0,1.8642447172193097,1.8642447172193097,2046.0,2046.0,4.9443,4.9443,7.1519,7.1519,9577.6139,15890.5029,7063.6762,40559.9299,0,9577.6139,15890.5029,7063.6762,40559.9299,0
3,3,50,3.2,700,244,1,1.1,1,1,1,1,0,7988.4433,0,7988.4433,7988.4433,0.9463142419347335,16666.1,0,11595.136,0.0,1.8642447172193097,1.8642447172193097,0.0,1.8642447172193097,1.8642447172193097,2046.0,2046.0,4.9758,4.9758,7.1519,7.1519,9631.5474,15890.5029,7049.4363,40559.9299,0,9631.5474,15890.5029,7049.4363,40559.9299,0
4,4,50,3.2,700,244,1,1,1,1,1,0.9,0,5845.3092,0,5845.3092,5845.3092,0.7532132313357847,16666.1,0,10402.6297,0.0,1.6778202454973787,1.6778202454973787,0.0,1.6778202454973787,1.6778202454973787,2046.0,2046.0,4.9601,4.9601,7.9465,7.9465,8644.1226,15890.5029,6124.0023,36503.9369,0,8644.1226,15890.5029,6124.0023,36503.9369,0
5,5,50,3.2,700,244,1,1,1,1,1,1.1,0,10171.2711,0,10171.2711,10171.2711,1.1428092195301214,16666.1,0,12714.3252,0.0,2.050669188941241,2.050669188941241,0.0,2.050669188941241,2.050669188941241,2046.0,2046.0,4.9601,4.9601,6.5017,6.5017,10565.0387,15890.5029,7989.1102,44615.9229,0,10565.0387,15890.5029,7989.1102,44615.9229,0
6,6,50,3.2,700,244,1,1,0.9,1,1,1,0,8208.9465,0,8208.9465,8208.9465,0.9650430937869784,16666.1,0,11232.7658,0.0,1.8642447172193097,1.8642447172193097,0.0,1.8642447172193097,1.8642447172193097,2046.0,2046.0,4.8203,4.8203,7.1519,7.1519,9333.9272,15890.5029,7126.5533,40559.9299,0,9333.9272,15890.5029,7126.5533,40559.9299,0
7,7,50,3.2,700,244,1,1,1.1,1,1,1,0,7807.6339,0,7807.6339,7807.6339,0.9309793570789275,16666.1,0,11884.1891,0.0,1.8642447172193097,1.8642447172193097,0.0,1.8642447172193097,1.8642447172193097,2046.0,2046.0,5.0998,5.0998,7.1519,7.1519,9875.2341,15890.5029,6986.5591,40559.9299,0,9875.2341,15890.5029,6986.5591,40559.9299,0
8,8,50,3.2,700,244,1,1,1,0.9,1,1,0,8208.9465,0,8208.9465,8208.9465,0.9650430937869784,16666.1,0,11232.7658,0.0,1.8642447172193097,1.8642447172193097,0.0,1.8642447172193097,1.8642447172193097,2046.0,2046.0,4.8203,4.8203,7.1519,7.1519,9333.9272,15890.5029,7126.5533,40559.9299,0,9333.9272,15890.5029,7126.5533,40559.9299,0
9,9,50,3.2,700,244,1,1,1,1.1,1,1,0,7807.6339,0,7807.6339,7807.6339,0.9309793570789275,16666.1,0,11884.1891,0.0,1.8642447172193097,1.8642447172193097,0.0,1.8642447172193097,1.8642447172193097,2046.0,2046.0,5.0998,5.0998,7.1519,7.1519,9875.2341,15890.5029,6986.5591,40559.9299,0,9875.2341,15890.5029,6986.5591,40559.9299,0
