,ID,E_Brent,NE_C1,M1_C1,M2_C1,SW_C1,costo_gel,VPN_Basica_porta,VPN_incremental_porta,VPN_Basica,VPN_incremental,VPN_Total,EFI_INCREMENTAL,capex,opex_basica,opex_incremental,volumen_B_LE,volumen_I_LE,volumen_T_LE,volumen_B_LE_p,volumen_I_LE_p,volumen_T_LE_p,LE_year_p,LE_year_b,lc_p,lc_b,dc_p,dc_b,opex_ing_p,capex_ing_p,impuesto_ing_p,ingreso_ing_p,abandono_ing_p,opex_ing_b,capex_ing_b,impuesto_ing_b,ingreso_ing_b,abandono_ing_b
0,0,20,0,0,0,0,3.7,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2022.0,2022.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,25,0,0,0,0,3.7,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2022.0,2022.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,30,0,0,0,0,3.7,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2022.0,2022.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,3,35,0,0,0,0,3.7,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2022.0,2022.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,4,40,0,0,0,0,3.7,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2022.0,2022.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,5,45,0,0,0,0,3.7,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2022.0,2022.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,6,50,0,0,0,0,3.7,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2022.0,2022.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,7,55,0,0,0,0,3.7,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2022.0,2022.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,8,60,0,0,0,0,3.7,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2022.0,2022.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,9,20,0,0,0,1,3.7,0,842.5836,0,287.4283,287.4283,20.58714203572421,41.1565,0,12.6635,0.0,0.06407053019416667,0.06407053019416667,0.0,0.06407053019416667,0.06407053019416667,2056.0,2056.0,0.18,0.18,0.2955,0.2955,5.1723,19.6206,362.2383,1229.6148,0,5.1723,19.6206,124.3146,436.5357,0
10,10,25,0,0,0,1,3.7,0,842.5836,0,379.9542,379.9542,27.196134850143416,41.1565,0,12.6635,0.0,0.06407053019416667,0.06407053019416667,0.0,0.06407053019416667,0.06407053019416667,2056.0,2056.0,0.18,0.18,0.2955,0.2955,5.1723,19.6206,362.2383,1229.6148,0,5.1723,19.6206,163.9685,568.7156,0
11,11,30,0,0,0,1,3.7,0,842.5836,0,472.4801,472.4801,33.80512766456262,41.1565,0,12.6635,0.0,0.06407053019416667,0.06407053019416667,0.0,0.06407053019416667,0.06407053019416667,2056.0,2056.0,0.18,0.18,0.2955,0.2955,5.1723,19.6206,362.2383,1229.6148,0,5.1723,19.6206,203.6225,700.8954,0
12,12,35,0,0,0,1,3.7,0,842.5836,0,565.006,565.006,40.414120478981815,41.1565,0,12.6635,0.0,0.06407053019416667,0.06407053019416667,0.0,0.06407053019416667,0.06407053019416667,2056.0,2056.0,0.18,0.18,0.2955,0.2955,5.1723,19.6206,362.2383,1229.6148,0,5.1723,19.6206,243.2765,833.0753,0
13,13,40,0,0,0,1,3.7,0,842.5836,0,657.5319,657.5319,47.02311329340101,41.1565,0,12.6635,0.0,0.06407053019416667,0.06407053019416667,0.0,0.06407053019416667,0.06407053019416667,2056.0,2056.0,0.18,0.18,0.2955,0.2955,5.1723,19.6206,362.2383,1229.6148,0,5.1723,19.6206,282.9304,965.2551,0
14,14,45,0,0,0,1,3.7,0,842.5836,0,750.0577,750.0577,53.63210610782024,41.1565,0,12.6635,0.0,0.06407053019416667,0.06407053019416667,0.0,0.06407053019416667,0.06407053019416667,2056.0,2056.0,0.18,0.18,0.2955,0.2955,5.1723,19.6206,362.2383,1229.6148,0,5.1723,19.6206,322.5844,1097.435,0
15,15,50,0,0,0,1,3.7,0,842.5836,0,842.5836,842.5836,60.24109892223946,41.1565,0,12.6635,0.0,0.06407053019416667,0.06407053019416667,0.0,0.06407053019416667,0.06407053019416667,2056.0,2056.0,0.18,0.18,0.2955,0.2955,5.1723,19.6206,362.2383,1229.6148,0,5.1723,19.6206,362.2383,1229.6148,0
16,16,55,0,0,0,1,3.7,0,842.5836,0,935.1095,935.1095,66.85009173665863,41.1565,0,12.6635,0.0,0.06407053019416667,0.06407053019416667,0.0,0.06407053019416667,0.06407053019416667,2056.0,2056.0,0.18,0.18,0.2955,0.2955,5.1723,19.6206,362.2383,1229.6148,0,5.1723,19.6206,401.8923,1361.7947,0
