,ID,E_Brent,NE_C1,M1_C1,M2_C1,SW_C1,costo_gel,reg_f,Oil,Gas_Prod,Gross_Fluid,Water_Injected,Producer_Well,Water_Injection_Well,total_opex,Perforacion,Facilidades,Abandono,total_capex,VPN_Total,volumen_T_LE_p
0,0,50,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
1,1,50,0,0,0,1,3,0,0,0,12.6635,0,0,0,12.6635,249.8238,0,0,249.8238,768.9347,64.07053019416666
2,2,50,0,0,1,0,3,0,0,0,75.9812,0,0,0,75.9812,1498.943,0,0,1498.943,4782.012,396.95871968125
3,3,50,0,0,1,1,3,0,0,0,88.6447,0,0,0,88.6447,1748.7669,0,0,1748.7669,5550.9467,461.0292498754166
4,4,50,0,1,0,0,3,0,0,0,64.9183,0,0,0,64.9183,1998.5907,0,0,1998.5907,3675.7005,339.3858699922456
5,5,50,0,1,0,1,3,0,0,0,77.5818,0,0,0,77.5818,2248.4146,0,0,2248.4146,4445.1179,403.4564001864123
6,6,50,0,1,1,0,3,0,0,0,140.8995,0,0,0,140.8995,3497.5338,0,0,3497.5338,8459.3077,736.3445896734956
7,7,50,0,1,1,1,3,0,0,0,153.563,0,0,0,153.563,3747.3576,0,0,3747.3576,9228.3548,800.4151198676623
8,8,50,1,0,0,0,3,0,0,0,25.3271,0,0,0,25.3271,499.6477,0,0,499.6477,1594.004,132.31957322708337
9,9,50,1,0,0,1,3,0,0,0,37.9906,0,0,0,37.9906,749.4715,0,0,749.4715,2362.9387,196.39010342124996
10,10,50,1,0,1,0,3,0,0,0,101.3082,0,0,0,101.3082,1998.5907,0,0,1998.5907,6376.016,529.2782929083335
11,11,50,1,0,1,1,3,0,0,0,113.9718,0,0,0,113.9718,2248.4146,0,0,2248.4146,7144.9508,593.3488231025
12,12,50,1,1,0,0,3,0,0,0,90.2453,0,0,0,90.2453,2498.2384,0,0,2498.2384,5270.5345,471.70544321932886
13,13,50,1,1,0,1,3,0,0,0,102.9089,0,0,0,102.9089,2748.0622,0,0,2748.0622,6039.7311,535.7759734134954
14,14,50,1,1,1,0,3,0,0,0,166.2265,0,0,0,166.2265,3997.1814,0,0,3997.1814,10053.5194,868.6641629005791
15,15,50,1,1,1,1,3,0,0,0,178.8901,0,0,0,178.8901,4247.0053,0,0,4247.0053,10822.5359,932.7346930947455
16,16,50,0,0,0,0,4.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
17,17,50,0,0,0,1,4.2,0,0,0,12.6635,0,0,0,12.6635,263.4455,0,0,263.4455,764.1269,64.07053019416666
18,18,50,0,0,1,0,4.2,0,0,0,75.9812,0,0,0,75.9812,1580.6732,0,0,1580.6732,4753.1655,396.95871968125
19,19,50,0,0,1,1,4.2,0,0,0,88.6447,0,0,0,88.6447,1844.1187,0,0,1844.1187,5517.2924,461.0292498754166
20,20,50,0,1,0,0,4.2,0,0,0,64.9183,0,0,0,64.9183,2107.5643,0,0,2107.5643,3636.7887,339.3858699922456
21,21,50,0,1,0,1,4.2,0,0,0,77.5818,0,0,0,77.5818,2371.0098,0,0,2371.0098,4401.4247,403.4564001864123
22,22,50,0,1,1,0,4.2,0,0,0,140.8995,0,0,0,140.8995,3688.2374,0,0,3688.2374,8391.6363,736.3445896734956
23,23,50,0,1,1,1,4.2,0,0,0,153.563,0,0,0,153.563,3951.683,0,0,3951.683,9155.8818,800.4151198676623
24,24,50,1,0,0,0,4.2,0,0,0,25.3271,0,0,0,25.3271,526.8911,0,0,526.8911,1584.3885,132.31957322708337
25,25,50,1,0,0,1,4.2,0,0,0,37.9906,0,0,0,37.9906,790.3366,0,0,790.3366,2348.5154,196.39010342124996
26,26,50,1,0,1,0,4.2,0,0,0,101.3082,0,0,0,101.3082,2107.5643,0,0,2107.5643,6337.5539,529.2782929083335
27,27,50,1,0,1,1,4.2,0,0,0,113.9718,0,0,0,113.9718,2371.0098,0,0,2371.0098,7101.6809,593.3488231025
28,28,50,1,1,0,0,4.2,0,0,0,90.2453,0,0,0,90.2453,2634.4553,0,0,2634.4553,5222.0524,471.70544321932886
29,29,50,1,1,0,1,4.2,0,0,0,102.9089,0,0,0,102.9089,2897.9009,0,0,2897.9009,5986.4555,535.7759734134954
30,30,50,1,1,1,0,4.2,0,0,0,166.2265,0,0,0,166.2265,4215.1285,0,0,4215.1285,9976.2438,868.6641629005791
31,31,50,1,1,1,1,4.2,0,0,0,178.8901,0,0,0,178.8901,4478.574,0,0,4478.574,10740.457,932.7346930947455
32,32,50,0,0,0,0,5.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
33,33,50,0,0,0,1,5.4,0,0,0,12.6635,0,0,0,12.6635,277.0672,0,0,277.0672,759.3192,64.07053019416666
34,34,50,0,0,1,0,5.4,0,0,0,75.9812,0,0,0,75.9812,1662.4033,0,0,1662.4033,4724.3189,396.95871968125
35,35,50,0,0,1,1,5.4,0,0,0,88.6447,0,0,0,88.6447,1939.4706,0,0,1939.4706,5483.6381,461.0292498754166
36,36,50,0,1,0,0,5.4,0,0,0,64.9183,0,0,0,64.9183,2216.5378,0,0,2216.5378,3597.8769,339.3858699922456
37,37,50,0,1,0,1,5.4,0,0,0,77.5818,0,0,0,77.5818,2493.605,0,0,2493.605,4357.7314,403.4564001864123
38,38,50,0,1,1,0,5.4,0,0,0,140.8995,0,0,0,140.8995,3878.9411,0,0,3878.9411,8323.9648,736.3445896734956
39,39,50,0,1,1,1,5.4,0,0,0,153.563,0,0,0,153.563,4156.0084,0,0,4156.0084,9083.4087,800.4151198676623
40,40,50,1,0,0,0,5.4,0,0,0,25.3271,0,0,0,25.3271,554.1344,0,0,554.1344,1574.773,132.31957322708337
41,41,50,1,0,0,1,5.4,0,0,0,37.9906,0,0,0,37.9906,831.2017,0,0,831.2017,2334.0921,196.39010342124996
42,42,50,1,0,1,0,5.4,0,0,0,101.3082,0,0,0,101.3082,2216.5378,0,0,2216.5378,6299.0918,529.2782929083335
43,43,50,1,0,1,1,5.4,0,0,0,113.9718,0,0,0,113.9718,2493.605,0,0,2493.605,7058.411,593.3488231025
44,44,50,1,1,0,0,5.4,0,0,0,90.2453,0,0,0,90.2453,2770.6722,0,0,2770.6722,5173.5704,471.70544321932886
45,45,50,1,1,0,1,5.4,0,0,0,102.9089,0,0,0,102.9089,3047.7395,0,0,3047.7395,5933.18,535.7759734134954
46,46,50,1,1,1,0,5.4,0,0,0,166.2265,0,0,0,166.2265,4433.0756,0,0,4433.0756,9898.9682,868.6641629005791
47,47,50,1,1,1,1,5.4,0,0,0,178.8901,0,0,0,178.8901,4710.1428,0,0,4710.1428,10658.3781,932.7346930947455
48,48,50,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0
49,49,50,0,0,0,1,3,1,0,0,12.6635,0,0,0,12.6635,249.8238,0,0,249.8238,656.6655,55.71350451666668
50,50,50,0,0,1,0,3,1,0,0,75.9812,0,0,0,75.9812,1498.943,0,0,1498.943,4108.3969,346.81656561625005
51,51,50,0,0,1,1,3,1,0,0,88.6447,0,0,0,88.6447,1748.7669,0,0,1748.7669,4765.0625,402.5300701329167
52,52,50,0,1,0,0,3,1,0,0,64.9183,0,0,0,64.9183,1998.5907,0,0,1998.5907,3118.9886,296.51607588796196
53,53,50,0,1,0,1,3,1,0,0,77.5818,0,0,0,77.5818,2248.4146,0,0,2248.4146,3776.1369,352.2295804046287
54,54,50,0,1,1,0,3,1,0,0,140.8995,0,0,0,140.8995,3497.5338,0,0,3497.5338,7228.9807,643.3326415042121
55,55,50,0,1,1,1,3,1,0,0,153.563,0,0,0,153.563,3747.3576,0,0,3747.3576,7885.7587,699.0461460208785
56,56,50,1,0,0,0,3,1,0,0,25.3271,0,0,0,25.3271,499.6477,0,0,499.6477,1369.4656,115.60552187208334
57,57,50,1,0,0,1,3,1,0,0,37.9906,0,0,0,37.9906,749.4715,0,0,749.4715,2026.1312,171.31902638875
58,58,50,1,0,1,0,3,1,0,0,101.3082,0,0,0,101.3082,1998.5907,0,0,1998.5907,5477.8626,462.4220874883333
59,59,50,1,0,1,1,3,1,0,0,113.9718,0,0,0,113.9718,2248.4146,0,0,2248.4146,6134.5281,518.135592005
60,60,50,1,1,0,0,3,1,0,0,90.2453,0,0,0,90.2453,2498.2384,0,0,2498.2384,4489.2843,412.12159776004523
61,61,50,1,1,0,1,3,1,0,0,102.9089,0,0,0,102.9089,2748.0622,0,0,2748.0622,5146.2117,467.83510227671206
62,62,50,1,1,1,0,3,1,0,0,166.2265,0,0,0,166.2265,3997.1814,0,0,3997.1814,8598.6541,758.9381633762953
63,63,50,1,1,1,1,3,1,0,0,178.8901,0,0,0,178.8901,4247.0053,0,0,4247.0053,9255.4014,814.6516678929621
64,64,50,0,0,0,0,4.2,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0
65,65,50,0,0,0,1,4.2,1,0,0,12.6635,0,0,0,12.6635,263.4455,0,0,263.4455,651.8578,55.71350451666668
66,66,50,0,0,1,0,4.2,1,0,0,75.9812,0,0,0,75.9812,1580.6732,0,0,1580.6732,4079.5504,346.81656561625005
67,67,50,0,0,1,1,4.2,1,0,0,88.6447,0,0,0,88.6447,1844.1187,0,0,1844.1187,4731.4081,402.5300701329167
68,68,50,0,1,0,0,4.2,1,0,0,64.9183,0,0,0,64.9183,2107.5643,0,0,2107.5643,3080.0768,296.51607588796196
69,69,50,0,1,0,1,4.2,1,0,0,77.5818,0,0,0,77.5818,2371.0098,0,0,2371.0098,3732.4436,352.2295804046287
70,70,50,0,1,1,0,4.2,1,0,0,140.8995,0,0,0,140.8995,3688.2374,0,0,3688.2374,7161.3093,643.3326415042121
71,71,50,0,1,1,1,4.2,1,0,0,153.563,0,0,0,153.563,3951.683,0,0,3951.683,7813.2856,699.0461460208785
72,72,50,1,0,0,0,4.2,1,0,0,25.3271,0,0,0,25.3271,526.8911,0,0,526.8911,1359.8501,115.60552187208334
73,73,50,1,0,0,1,4.2,1,0,0,37.9906,0,0,0,37.9906,790.3366,0,0,790.3366,2011.7079,171.31902638875
74,74,50,1,0,1,0,4.2,1,0,0,101.3082,0,0,0,101.3082,2107.5643,0,0,2107.5643,5439.4005,462.4220874883333
75,75,50,1,0,1,1,4.2,1,0,0,113.9718,0,0,0,113.9718,2371.0098,0,0,2371.0098,6091.2583,518.135592005
76,76,50,1,1,0,0,4.2,1,0,0,90.2453,0,0,0,90.2453,2634.4553,0,0,2634.4553,4440.8022,412.12159776004523
77,77,50,1,1,0,1,4.2,1,0,0,102.9089,0,0,0,102.9089,2897.9009,0,0,2897.9009,5092.9361,467.83510227671206
78,78,50,1,1,1,0,4.2,1,0,0,166.2265,0,0,0,166.2265,4215.1285,0,0,4215.1285,8521.3785,758.9381633762953
79,79,50,1,1,1,1,4.2,1,0,0,178.8901,0,0,0,178.8901,4478.574,0,0,4478.574,9173.3225,814.6516678929621
80,80,50,0,0,0,0,5.4,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0
81,81,50,0,0,0,1,5.4,1,0,0,12.6635,0,0,0,12.6635,277.0672,0,0,277.0672,647.05,55.71350451666668
82,82,50,0,0,1,0,5.4,1,0,0,75.9812,0,0,0,75.9812,1662.4033,0,0,1662.4033,4050.7038,346.81656561625005
83,83,50,0,0,1,1,5.4,1,0,0,88.6447,0,0,0,88.6447,1939.4706,0,0,1939.4706,4697.7538,402.5300701329167
84,84,50,0,1,0,0,5.4,1,0,0,64.9183,0,0,0,64.9183,2216.5378,0,0,2216.5378,3041.165,296.51607588796196
85,85,50,0,1,0,1,5.4,1,0,0,77.5818,0,0,0,77.5818,2493.605,0,0,2493.605,3688.7504,352.2295804046287
86,86,50,0,1,1,0,5.4,1,0,0,140.8995,0,0,0,140.8995,3878.9411,0,0,3878.9411,7093.6379,643.3326415042121
87,87,50,0,1,1,1,5.4,1,0,0,153.563,0,0,0,153.563,4156.0084,0,0,4156.0084,7740.8126,699.0461460208785
88,88,50,1,0,0,0,5.4,1,0,0,25.3271,0,0,0,25.3271,554.1344,0,0,554.1344,1350.2346,115.60552187208334
89,89,50,1,0,0,1,5.4,1,0,0,37.9906,0,0,0,37.9906,831.2017,0,0,831.2017,1997.2846,171.31902638875
90,90,50,1,0,1,0,5.4,1,0,0,101.3082,0,0,0,101.3082,2216.5378,0,0,2216.5378,5400.9384,462.4220874883333
