,ID,E_Brent,NE_C1,M1_C1,M2_C1,SW_C1,costo_gel,reg_f,Oil,Gas_Prod,Gross_Fluid,Water_Injected,Producer_Well,Water_Injection_Well,total_opex,Perforacion,Facilidades,Abandono,total_capex,VPN_Total,volumen_T_LE_p,Payout
0,0,50,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,50.0
1,1,50,0,0,0,1,3,0,0,0,12.6635,0,0,0,12.6635,249.8238,0,0,249.8238,755.1864,64.07053019416666,6.0
2,2,50,0,0,1,0,3,0,0,0,75.9812,0,0,0,75.9812,1498.943,0,0,1498.943,4761.6408,396.95871968125,6.0
3,3,50,0,0,1,1,3,0,0,0,88.6447,0,0,0,88.6447,1748.7669,0,0,1748.7669,5516.8272,461.0292498754166,6.0
4,4,50,0,1,0,0,3,0,0,0,64.9183,0,0,0,64.9183,1998.5907,0,0,1998.5907,3659.5176,339.3858699922456,6.0
5,5,50,0,1,0,1,3,0,0,0,77.5818,0,0,0,77.5818,2248.4146,0,0,2248.4146,4415.1867,403.4564001864123,6.0
6,6,50,0,1,1,0,3,0,0,0,140.8995,0,0,0,140.8995,3497.5338,0,0,3497.5338,8422.7536,736.3445896734956,6.0
7,7,50,0,1,1,1,3,0,0,0,153.563,0,0,0,153.563,3747.3576,0,0,3747.3576,9178.0524,800.4151198676623,6.0
8,8,50,1,0,0,0,3,0,0,0,25.3271,0,0,0,25.3271,499.6477,0,0,499.6477,1587.2136,132.31957322708337,6.0
9,9,50,1,0,0,1,3,0,0,0,37.9906,0,0,0,37.9906,749.4715,0,0,749.4715,2342.4,196.39010342124996,6.0
10,10,50,1,0,1,0,3,0,0,0,101.3082,0,0,0,101.3082,1998.5907,0,0,1998.5907,6348.8544,529.2782929083335,6.0
11,11,50,1,0,1,1,3,0,0,0,113.9718,0,0,0,113.9718,2248.4146,0,0,2248.4146,7104.0408,593.3488231025,6.0
12,12,50,1,1,0,0,3,0,0,0,90.2453,0,0,0,90.2453,2498.2384,0,0,2498.2384,5247.5613,471.70544321932886,6.0
13,13,50,1,1,0,1,3,0,0,0,102.9089,0,0,0,102.9089,2748.0622,0,0,2748.0622,6003.0095,535.7759734134954,6.0
14,14,50,1,1,1,0,3,0,0,0,166.2265,0,0,0,166.2265,3997.1814,0,0,3997.1814,10010.1749,868.6641629005791,6.0
15,15,50,1,1,1,1,3,0,0,0,178.8901,0,0,0,178.8901,4247.0053,0,0,4247.0053,10765.4432,932.7346930947455,6.0
