,ID,E_Brent,NE_C1,M1_C1,M2_C1,SW_C1,costo_gel,capex_h,opex_h,produc_h,costo_gel_p,VPN_Basica_porta,VPN_incremental_porta,VPN_Basica,VPN_incremental,VPN_Total,EFI_INCREMENTAL,capex,opex_basica,opex_incremental,volumen_B_LE,volumen_I_LE,volumen_T_LE,volumen_B_LE_p,volumen_I_LE_p,volumen_T_LE_p,LE_year_p,LE_year_b,lc_p,lc_b,dc_p,dc_b,opex_ing_p,capex_ing_p,impuesto_ing_p,ingreso_ing_p,abandono_ing_p,opex_ing_b,capex_ing_b,impuesto_ing_b,ingreso_ing_b,abandono_ing_b
0,0,50,0,0,0,0,4.2,0.9,1,1,1,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2022.0,2022.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,50,0,0,0,1,4.2,0.9,1,1,1,0,649.201,0,649.201,649.201,8.265008356016056,237.101,0,12.6635,0.0,0.05571350451666668,0.05571350451666668,0.0,0.05571350451666668,0.05571350451666668,2056.0,2056.0,0.18,0.18,1.7023,1.7023,5.1723,113.0335,284.7449,1052.1517,0,5.1723,113.0335,284.7449,1052.1517,0
2,2,50,0,0,1,0,4.2,0.9,1,1,1,0,4117.5421,0,4134.0435,4134.0435,8.768247939691918,1422.6059,0,75.9812,0.0,0.34681656561625007,0.34681656561625007,0.0,0.34681656561625007,0.34681656561625007,2056.0,2056.0,0.18,0.18,1.7023,1.7023,31.0335,678.2007,1803.7565,6630.5328,0,31.0335,678.2007,1810.8286,6654.1064,0
3,3,50,0,0,1,1,4.2,0.9,1,1,1,0,4766.7431,0,4783.2445,4783.2445,8.696356570595366,1659.7069,0,88.6447,0.0,0.4025300701329167,0.4025300701329167,0.0,0.4025300701329167,0.4025300701329167,2056.0,2056.0,0.18,0.18,1.7023,1.7023,36.2058,791.2342,2088.5014,7682.6845,0,36.2058,791.2342,2095.5735,7706.258,0
4,4,50,0,1,0,0,4.2,0.9,1,1,1,0,3141.1941,0,3154.3028,3154.3028,5.054708260095159,1896.8078,0,64.9183,0.0,0.29651607588796197,0.29651607588796197,0.0,0.29651607588796197,0.29651607588796197,2056.0,2056.0,0.18,0.18,2.6547,2.6547,25.6481,904.2677,1409.5354,5480.6452,0,25.6481,904.2677,1415.1534,5499.372,0
5,5,50,0,1,0,1,4.2,0.9,1,1,1,0,3790.8532,0,3803.962,3803.962,5.411408270753035,2133.9088,0,77.5818,0.0,0.35222958040462865,0.35222958040462865,0.0,0.35222958040462865,0.35222958040462865,2056.0,2056.0,0.18,0.18,2.4994,2.4994,30.8203,1017.3011,1693.8222,6532.7969,0,30.8203,1017.3011,1699.4402,6551.5236,0
6,6,50,0,1,1,0,4.2,0.9,1,1,1,0,7260.2501,0,7289.8603,7289.8603,6.6462252656366285,3319.4137,0,140.8995,0.0,0.6433326415042121,0.6433326415042121,0.0,0.6433326415042121,0.6433326415042121,2056.0,2056.0,0.18,0.18,2.1413,2.1413,56.6816,1582.4684,3211.778,12111.1781,0,56.6816,1582.4684,3224.4681,12153.4784,0
7,7,50,0,1,1,1,4.2,0.9,1,1,1,0,7909.5578,0,7939.168,7939.168,6.750161742020616,3556.5147,0,153.563,0.0,0.6990461460208784,0.6990461460208784,0.0,0.6990461460208784,0.6990461460208784,2056.0,2056.0,0.18,0.18,2.1051,2.1051,61.8538,1695.5018,3496.4162,13163.3297,0,61.8538,1695.5018,3509.1063,13205.63,0
8,8,50,1,0,0,0,4.2,0.9,1,1,1,0,1372.514,0,1378.0145,1378.0145,8.768247939691918,474.202,0,25.3271,0.0,0.11560552187208334,0.11560552187208334,0.0,0.11560552187208334,0.11560552187208334,2056.0,2056.0,0.18,0.18,1.7023,1.7023,10.3445,226.0669,601.2522,2210.1776,0,10.3445,226.0669,603.6095,2218.0355,0
9,9,50,1,0,0,1,4.2,0.9,1,1,1,0,2021.715,0,2027.2155,2027.2155,8.600501411799966,711.3029,0,37.9906,0.0,0.17131902638875,0.17131902638875,0.0,0.17131902638875,0.17131902638875,2056.0,2056.0,0.18,0.18,1.7023,1.7023,15.5168,339.1004,885.9971,3262.3293,0,15.5168,339.1004,888.3545,3270.1871,0
10,10,50,1,0,1,0,4.2,0.9,1,1,1,0,5490.0561,0,5512.0581,5512.0581,8.768247939691918,1896.8078,0,101.3082,0.0,0.4624220874883333,0.4624220874883333,0.0,0.4624220874883333,0.4624220874883333,2056.0,2056.0,0.18,0.18,1.7023,1.7023,41.378,904.2677,2405.0087,8840.7105,0,41.378,904.2677,2414.4381,8872.1418,0
11,11,50,1,0,1,1,4.2,0.9,1,1,1,0,6139.2571,0,6161.2591,6161.2591,8.712332430394596,2133.9088,0,113.9718,0.0,0.518135592005,0.518135592005,0.0,0.518135592005,0.518135592005,2056.0,2056.0,0.18,0.18,1.7023,1.7023,46.5503,1017.3011,2689.7536,9892.8621,0,46.5503,1017.3011,2699.183,9924.2935,0
12,12,50,1,1,0,0,4.2,0.9,1,1,1,0,4514.4959,0,4533.1051,4533.1051,5.797416196014513,2371.0098,0,90.2453,0.0,0.41212159776004526,0.41212159776004526,0.0,0.41212159776004526,0.41212159776004526,2056.0,2056.0,0.18,0.18,2.3876,2.3876,35.9926,1130.3346,2009.9998,7690.8228,0,35.9926,1130.3346,2017.9752,7717.4074,0
13,13,50,1,1,0,1,4.2,0.9,1,1,1,0,5163.9454,0,5182.5546,5182.5546,6.021742756014653,2608.1108,0,102.9089,0.0,0.46783510227671204,0.46783510227671204,0.0,0.46783510227671204,0.46783510227671204,2056.0,2056.0,0.18,0.18,2.3033,2.3033,41.1648,1243.368,2294.4962,8742.9745,0,41.1648,1243.368,2302.4716,8769.5591,0
14,14,50,1,1,1,0,4.2,0.9,1,1,1,0,8632.9613,0,8668.072,8668.072,6.907657492873145,3793.6157,0,166.2265,0.0,0.7589381633762953,0.7589381633762953,0.0,0.7589381633762953,0.7589381633762953,2056.0,2056.0,0.18,0.18,2.0744,2.0744,67.0261,1808.5353,3812.833,14321.3557,0,67.0261,1808.5353,3827.8804,14371.5138,0
15,15,50,1,1,1,1,4.2,0.9,1,1,1,0,9282.2399,0,9317.3506,9317.3506,6.987460119062088,4030.7166,0,178.8901,0.0,0.8146516678929621,0.8146516678929621,0.0,0.8146516678929621,0.8146516678929621,2056.0,2056.0,0.18,0.18,2.0481,2.0481,72.1984,1921.5688,4097.5003,15373.5073,0,72.1984,1921.5688,4112.5477,15423.6655,0
16,16,50,0,0,0,0,4.2,1.1,1,1,1,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2022.0,2022.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,17,50,0,0,0,1,4.2,1.1,1,1,1,0,630.6044,0,630.6044,630.6044,6.585705784950899,289.7901,0,12.6635,0.0,0.05571350451666668,0.05571350451666668,0.0,0.05571350451666668,0.05571350451666668,2056.0,2056.0,0.18,0.18,2.0806,2.0806,5.1723,138.152,278.223,1052.1517,0,5.1723,138.152,278.223,1052.1517,0
18,18,50,0,0,1,0,4.2,1.1,1,1,1,0,4005.9626,0,4022.4641,4022.4641,6.9893375484578755,1738.7405,0,75.9812,0.0,0.34681656561625007,0.34681656561625007,0.0,0.34681656561625007,0.34681656561625007,2056.0,2056.0,0.18,0.18,2.0806,2.0806,31.0335,828.912,1764.6247,6630.5328,0,31.0335,828.912,1771.6967,6654.1064,0
19,19,50,0,0,1,1,4.2,1.1,1,1,1,0,4636.5671,0,4653.0685,4653.0685,6.931735497409311,2028.5306,0,88.6447,0.0,0.4025300701329167,0.4025300701329167,0.0,0.4025300701329167,0.4025300701329167,2056.0,2056.0,0.18,0.18,2.0806,2.0806,36.2058,967.064,2042.8476,7682.6845,0,36.2058,967.064,2049.9197,7706.258,0
20,20,50,0,1,0,0,4.2,1.1,1,1,1,0,2990.6821,0,3003.7909,3003.7909,3.953400814364979,2318.3207,0,64.9183,0.0,0.29651607588796197,0.29651607588796197,0.0,0.29651607588796197,0.29651607588796197,2056.0,2056.0,0.18,0.18,3.2447,3.2447,25.6481,1105.216,1359.099,5480.6452,0,25.6481,1105.216,1364.717,5499.372,0
21,21,50,0,1,0,1,4.2,1.1,1,1,1,0,3621.8465,0,3634.9552,3634.9552,4.245643844084091,2608.1108,0,77.5818,0.0,0.35222958040462865,0.35222958040462865,0.0,0.35222958040462865,0.35222958040462865,2056.0,2056.0,0.18,0.18,3.0548,3.0548,30.8203,1243.368,1636.762,6532.7969,0,30.8203,1243.368,1642.3801,6551.5236,0
22,22,50,0,1,1,0,4.2,1.1,1,1,1,0,6998.4951,0,7028.1053,7028.1053,5.254740810519587,4057.0612,0,140.8995,0.0,0.6433326415042121,0.6433326415042121,0.0,0.6433326415042121,0.6433326415042121,2056.0,2056.0,0.18,0.18,2.6171,2.6171,56.6816,1934.128,3121.8733,12111.1781,0,56.6816,1934.128,3134.5634,12153.4784,0
23,23,50,0,1,1,1,4.2,1.1,1,1,1,0,7629.23,0,7658.8402,7658.8402,5.343386161133258,4346.8513,0,153.563,0.0,0.6990461460208784,0.6990461460208784,0.0,0.6990461460208784,0.6990461460208784,2056.0,2056.0,0.18,0.18,2.5729,2.5729,61.8538,2072.28,3399.9659,13163.3297,0,61.8538,2072.28,3412.656,13205.63,0
24,24,50,1,0,0,0,4.2,1.1,1,1,1,0,1335.3209,0,1340.8214,1340.8214,6.997778777381133,579.5802,0,25.3271,0.0,0.11560552187208334,0.11560552187208334,0.0,0.11560552187208334,0.11560552187208334,2056.0,2056.0,0.18,0.18,2.0806,2.0806,10.3445,276.304,588.2082,2210.1776,0,10.3445,276.304,590.5656,2218.0355,0
25,25,50,1,0,0,1,4.2,1.1,1,1,1,0,1965.9253,0,1971.4258,1971.4258,6.860421113237725,869.3703,0,37.9906,0.0,0.17131902638875,0.17131902638875,0.0,0.17131902638875,0.17131902638875,2056.0,2056.0,0.18,0.18,2.0806,2.0806,15.5168,414.456,866.4312,3262.3293,0,15.5168,414.456,868.7885,3270.1871,0
26,26,50,1,0,1,0,4.2,1.1,1,1,1,0,5341.2835,0,5363.2855,5363.2855,6.9914459459083895,2318.3207,0,101.3082,0.0,0.4624220874883333,0.4624220874883333,0.0,0.4624220874883333,0.4624220874883333,2056.0,2056.0,0.18,0.18,2.0806,2.0806,41.378,1105.216,2352.8329,8840.7105,0,41.378,1105.216,2362.2623,8872.1418,0
27,27,50,1,0,1,1,4.2,1.1,1,1,1,0,5971.8879,0,5993.8899,5993.8899,6.946399974699915,2608.1108,0,113.9718,0.0,0.518135592005,0.518135592005,0.0,0.518135592005,0.518135592005,2056.0,2056.0,0.18,0.18,2.0806,2.0806,46.5503,1243.368,2631.0558,9892.8621,0,46.5503,1243.368,2640.4853,9924.2935,0
28,28,50,1,1,0,0,4.2,1.1,1,1,1,0,4326.9658,0,4345.575,4345.575,4.55853461825651,2897.9009,0,90.2453,0.0,0.41212159776004526,0.41212159776004526,0.0,0.41212159776004526,0.41212159776004526,2056.0,2056.0,0.18,0.18,2.9181,2.9181,35.9926,1381.52,1946.3444,7690.8228,0,35.9926,1381.52,1954.3198,7717.4074,0
