,ID,E_Brent,NE_C1,NE_C2,NE_C3,NE_C4,NE_C5,M1_C1,M2_C1,M2_C2,B44_C1,B44_C2,SW_C1,reg_f,VPN_Basica_porta,VPN_incremental_porta,VPN_Basica,VPN_incremental,VPN_Total,EFI_INCREMENTAL,capex,opex_basica,opex_incremental,volumen_B_LE,volumen_I_LE,volumen_T_LE,volumen_B_LE_p,volumen_I_LE_p,volumen_T_LE_p,LE_year_p,LE_year_b,lc_p,lc_b,dc_p,dc_b,opex_ing_p,capex_ing_p,impuesto_ing_p,ingreso_ing_p,abandono_ing_p,opex_ing_b,capex_ing_b,impuesto_ing_b,ingreso_ing_b,abandono_ing_b
0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,3,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,4,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,5,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,6,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,7,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,8,25,0,0,0,0,0,0,0,0,0,0,1,0,0,19003.4832,0,1661.3263,1661.3263,0.432897462,11040.788,0,18600.6228,0,1.93409724,1.93409724,0,2.060651544,2.060651544,2048,2043,7.6532,6.4214,4.8587,5.1766,6106.7964,10273.6402,10308.0193,45707.2433,15.3042,5676.3443,10273.6402,2786.2622,20422.2206,24.6476
9,9,30,0,0,0,0,0,0,0,0,0,0,1,0,0,19003.4832,0,5086.209,5086.209,0.913628155,11040.788,0,18600.6228,0,1.995651947,1.995651947,0,2.060651544,2.060651544,2048,2045,7.6532,6.8942,4.8587,5.0169,6106.7964,10273.6402,10308.0193,45707.2433,15.3042,5873.2162,10273.6402,4300.4066,25553.842,20.3699
10,10,35,0,0,0,0,0,0,0,0,0,0,1,0,0,19003.4832,0,8552.7854,8552.7854,1.397018785,11040.788,0,18600.6228,0,2.021109017,2.021109017,0,2.060651544,2.060651544,2048,2046,7.6532,7.1389,4.8587,4.9538,6106.7964,10273.6402,10308.0193,45707.2433,15.3042,5958.5217,10273.6402,5800.1856,30603.6509,18.5181
11,11,40,0,0,0,0,0,0,0,0,0,0,1,0,0,19003.4832,0,12025.7763,12025.7763,1.88160676,11040.788,0,18600.6228,0,2.042526819,2.042526819,0,2.060651544,2.060651544,2048,2047,7.6532,7.3922,4.8587,4.9018,6106.7964,10273.6402,10308.0193,45707.2433,15.3042,6036.0939,10273.6402,7305.8515,35658.1965,16.8346
12,12,45,0,0,0,0,0,0,0,0,0,0,1,0,0,19003.4832,0,15505.6504,15505.6504,2.366980548,11040.788,0,18600.6228,0,2.060651544,2.060651544,0,2.060651544,2.060651544,2048,2048,7.6532,7.6532,4.8587,4.8587,6106.7964,10273.6402,10308.0193,45707.2433,15.3042,6106.7964,10273.6402,8812.7077,40714.0989,15.3042
13,13,50,0,0,0,0,0,0,0,0,0,0,1,0,0,19003.4832,0,19003.4832,19003.4832,2.852978634,11040.788,0,18600.6228,0,2.060651544,2.060651544,0,2.060651544,2.060651544,2048,2048,7.6532,7.6532,4.8587,4.8587,6106.7964,10273.6402,10308.0193,45707.2433,15.3042,6106.7964,10273.6402,10308.0193,45707.2433,15.3042
14,14,55,0,0,0,0,0,0,0,0,0,0,1,0,0,19003.4832,0,22492.7012,22492.7012,3.33954057,11040.788,0,18600.6228,0,2.075998897,2.075998897,0,2.060651544,2.060651544,2048,2049,7.6532,7.9198,4.8587,4.8228,6106.7964,10273.6402,10308.0193,45707.2433,15.3042,6170.9636,10273.6402,11817.7386,50768.9565,13.9129
