,ID,E_Brent,NE_C1,NE_C2,NE_C3,NE_C4,NE_C5,M1_C1,M2_C1,M2_C2,B44_C1,B44_C2,SW_C1,capex_h,opex_h,produc_h,VPN_Basica_porta,VPN_incremental_porta,VPN_Basica,VPN_incremental,VPN_Total,EFI_INCREMENTAL,capex,opex_basica,opex_incremental,volumen_B_LE,volumen_I_LE,volumen_T_LE,volumen_B_LE_p,volumen_I_LE_p,volumen_T_LE_p,LE_year_p,LE_year_b,lc_p,lc_b,dc_p,dc_b,opex_ing_p,capex_ing_p,impuesto_ing_p,ingreso_ing_p,abandono_ing_p,opex_ing_b,capex_ing_b,impuesto_ing_b,ingreso_ing_b,abandono_ing_b
0,0,50,0,0,0,0,0,0,0,0,0,0,0,0.9,1,1,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2024.0,2024.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,50,0,0,0,0,0,0,0,0,0,0,1,0.9,1,1,0,19622.8824,0,19622.8824,19622.8824,3.2408967369522164,9794.4192,0,18600.6228,0.0,1.9966634562259322,1.9966634562259322,0.0,1.9966634562259322,1.9966634562259322,2047.0,2047.0,7.3922,7.3922,4.4116,4.4116,6036.0939,9246.2762,10342.4489,45262.8524,15.1512,6036.0939,9246.2762,10342.4489,45262.8524,15.1512
2,2,50,0,0,0,0,0,0,0,0,1,0,0,0.9,1,1,0,14350.2457,0,14350.2457,14350.2457,1.6728662875489155,15514.8014,0,9235.957,0.0,1.46465637994127,1.46465637994127,0.0,1.46465637994127,1.46465637994127,2047.0,2047.0,5.2747,5.2747,9.9338,9.9338,3110.3934,13447.9843,8146.4601,39080.3355,25.252,3110.3934,13447.9843,8146.4601,39080.3355,25.252
3,3,50,0,0,0,0,0,0,0,0,1,0,1,0.9,1,1,0,33770.6804,0,33770.6804,33770.6804,2.311713980118886,25309.2207,0,27836.5797,0.0,3.461319836167202,3.461319836167202,0.0,3.461319836167202,3.461319836167202,2047.0,2047.0,6.5177,6.5177,6.6921,6.6921,9146.4872,22694.2605,18691.3567,84343.1879,40.4031,9146.4872,22694.2605,18691.3567,84343.1879,40.4031
4,4,50,0,0,0,0,0,0,0,0,0,1,0,0.9,1,1,0,17270.1798,0,17270.1798,17270.1798,1.8455795451133516,16845.3949,0,13241.0782,0.0,1.7810680040392068,1.7810680040392068,0.0,1.7810680040392068,1.7810680040392068,2048.0,2048.0,6.5314,6.5314,8.8565,8.8565,4732.1962,14601.3216,9677.1272,46303.7811,22.9563,4732.1962,14601.3216,9677.1272,46303.7811,22.9563
5,5,50,0,0,0,0,0,0,0,0,0,1,1,0.9,1,1,0,36705.1616,0,36705.1616,36705.1616,2.3864953737742414,26639.8141,0,31841.701,0.0,3.7934920909168754,3.7934920909168754,0.0,3.7934920909168754,3.7934920909168754,2048.0,2048.0,7.1381,7.1381,6.4318,6.4318,10838.9926,23847.5978,20207.9801,91636.4622,36.7301,10838.9926,23847.5978,20207.9801,91636.4622,36.7301
6,6,50,0,0,0,0,0,0,1,0,0,0,0,0.9,1,1,0,7566.4441,0,7566.4441,7566.4441,2.4598005012657786,4815,0,7013.0722,0.0,0.5585817245943974,0.5585817245943974,0.0,0.5585817245943974,0.5585817245943974,2038.0,2038.0,8.5853,8.5853,8.189,8.189,2888.5652,4590.9224,3726.5,18784.3402,11.9086,2888.5652,4590.9224,3726.5,18784.3402,11.9086
7,7,50,0,0,0,0,0,0,1,0,0,0,1,0.9,1,1,0,26964.806,0,26964.806,26964.806,2.9727899753042837,14609.4192,0,25613.695,0.0,2.570695409164068,2.570695409164068,0.0,2.570695409164068,2.570695409164068,2047.0,2047.0,8.1511,8.1511,5.1683,5.1683,9187.4793,13837.1985,14169.6889,64179.3743,20.2016,9187.4793,13837.1985,14169.6889,64179.3743,20.2016
8,8,50,0,0,0,0,0,0,1,0,1,0,0,0.9,1,1,0,21779.3368,0,21779.3368,21779.3368,1.8665239153676996,20329.8014,0,16249.0292,0.0,2.0201223184320196,2.0201223184320196,0.0,2.0201223184320196,2.0201223184320196,2045.0,2045.0,6.4803,6.4803,9.4731,9.4731,6154.3332,18038.9067,11890.8881,57900.1307,36.6658,6154.3332,18038.9067,11890.8881,57900.1307,36.6658
9,9,50,0,0,0,0,0,0,1,0,1,0,1,0.9,1,1,0,41144.6049,0,41144.6049,41144.6049,2.3320945839561364,30124.2207,0,34849.652,0.0,4.035351789105339,4.035351789105339,0.0,4.035351789105339,4.035351789105339,2047.0,2047.0,7.1275,7.1275,6.8643,6.8643,12297.8727,27285.1829,22486.5958,103259.7098,45.4535,12297.8727,27285.1829,22486.5958,103259.7098,45.4535
