,ID,E_Brent,C_polimero,PPM,Costo_Kw_hr,reg_f,ecp_z,capex_p_x_v,opex_p_y_v,produccion_p_y_v,VPN_Basica_porta,VPN_incremental_porta,VPN_Basica,VPN_incremental,VPN_Total,EFI_INCREMENTAL,capex,opex_basica,opex_incremental,volumen_B_LE,volumen_I_LE,volumen_T_LE,volumen_B_LE_p,volumen_I_LE_p,volumen_T_LE_p,LE_year_p,LE_year_b,lc_p,lc_b,dc_p,dc_b,opex_ing_p,capex_ing_p,impuesto_ing_p,ingreso_ing_p,abandono_ing_p,opex_ing_b,capex_ing_b,impuesto_ing_b,ingreso_ing_b,abandono_ing_b
0,0,25,3.2,550,244,0,0,0.5,0.5,0.5,0,7625.6731,0,-33731.2242,-33731.2242,0.0,52615.9008,0,201251.9684,0.0,5.52212291958939,5.52212291958939,0.0,5.52212291958939,5.52212291958939,2055.0,2055.0,15.953,15.953,4.5259,4.5259,50329.4958,25083.6465,7110.4494,90149.2648,0,50329.4958,25083.6465,0,41681.9181,0
1,1,30,3.2,550,244,0,0,0.5,0.5,0.5,0,7625.6731,0,-33731.2242,-33731.2242,0.0,52615.9008,0,201251.9684,0.0,5.52212291958939,5.52212291958939,0.0,5.52212291958939,5.52212291958939,2055.0,2055.0,15.953,15.953,4.5259,4.5259,50329.4958,25083.6465,7110.4494,90149.2648,0,50329.4958,25083.6465,0,41681.9181,0
2,2,35,3.2,550,244,0,0,0.5,0.5,0.5,0,7625.6731,0,-15373.4187,-15373.4187,0.0,52615.9008,0,201251.9684,0.0,5.52212291958939,5.52212291958939,0.0,5.52212291958939,5.52212291958939,2055.0,2055.0,15.953,15.953,4.5259,4.5259,50329.4958,25083.6465,7110.4494,90149.2648,0,50329.4958,25083.6465,1029.1331,61068.8568,0
3,3,40,3.2,550,244,0,0,0.5,0.5,0.5,0,7625.6731,0,-7304.4277,-7304.4277,0.0,52615.9008,0,201251.9684,0.0,5.52212291958939,5.52212291958939,0.0,5.52212291958939,5.52212291958939,2055.0,2055.0,15.953,15.953,4.5259,4.5259,50329.4958,25083.6465,7110.4494,90149.2648,0,50329.4958,25083.6465,2653.6115,70762.3261,0
4,4,45,3.2,550,244,0,0,0.5,0.5,0.5,0,7625.6731,0,-7304.4277,-7304.4277,0.0,52615.9008,0,201251.9684,0.0,5.52212291958939,5.52212291958939,0.0,5.52212291958939,5.52212291958939,2055.0,2055.0,15.953,15.953,4.5259,4.5259,50329.4958,25083.6465,7110.4494,90149.2648,0,50329.4958,25083.6465,2653.6115,70762.3261,0
5,5,50,3.2,550,244,0,0,0.5,0.5,0.5,0,7625.6731,0,7625.6731,7625.6731,0.5874709965296848,52615.9008,0,201251.9684,0.0,5.52212291958939,5.52212291958939,0.0,5.52212291958939,5.52212291958939,2055.0,2055.0,15.953,15.953,4.5259,4.5259,50329.4958,25083.6465,7110.4494,90149.2648,0,50329.4958,25083.6465,7110.4494,90149.2648,0
6,6,55,3.2,550,244,0,0,0.5,0.5,0.5,0,7625.6731,0,14658.9482,14658.9482,0.973911330372294,52615.9008,0,201251.9684,0.0,5.52212291958939,5.52212291958939,0.0,5.52212291958939,5.52212291958939,2055.0,2055.0,15.953,15.953,4.5259,4.5259,50329.4958,25083.6465,7110.4494,90149.2648,0,50329.4958,25083.6465,9770.6436,99842.7341,0
7,7,60,3.2,550,244,0,0,0.5,0.5,0.5,0,7625.6731,0,21601.2967,21601.2967,1.360351664214903,52615.9008,0,201251.9684,0.0,5.52212291958939,5.52212291958939,0.0,5.52212291958939,5.52212291958939,2055.0,2055.0,15.953,15.953,4.5259,4.5259,50329.4958,25083.6465,7110.4494,90149.2648,0,50329.4958,25083.6465,12521.7645,109536.2035,0
8,8,25,3.2,550,244,0,0,0.55,0.5,0.5,0,5117.3084,0,-36239.5888,-36239.5888,0.0,52615.9008,0,201251.9684,0.0,5.52212291958939,5.52212291958939,0.0,5.52212291958939,5.52212291958939,2055.0,2055.0,15.953,15.953,4.9785,4.9785,50329.4958,27592.0112,7110.4494,90149.2648,0,50329.4958,27592.0112,0,41681.9181,0
9,9,30,3.2,550,244,0,0,0.55,0.5,0.5,0,5117.3084,0,-26564.1179,-26564.1179,0.0,52615.9008,0,201251.9684,0.0,5.52212291958939,5.52212291958939,0.0,5.52212291958939,5.52212291958939,2055.0,2055.0,15.953,15.953,4.9785,4.9785,50329.4958,27592.0112,7110.4494,90149.2648,0,50329.4958,27592.0112,17.9983,51375.3875,0
10,10,35,3.2,550,244,0,0,0.55,0.5,0.5,0,5117.3084,0,-17881.7833,-17881.7833,0.0,52615.9008,0,201251.9684,0.0,5.52212291958939,5.52212291958939,0.0,5.52212291958939,5.52212291958939,2055.0,2055.0,15.953,15.953,4.9785,4.9785,50329.4958,27592.0112,7110.4494,90149.2648,0,50329.4958,27592.0112,1029.1331,61068.8568,0
11,11,40,3.2,550,244,0,0,0.55,0.5,0.5,0,5117.3084,0,-9812.7924,-9812.7924,0.0,52615.9008,0,201251.9684,0.0,5.52212291958939,5.52212291958939,0.0,5.52212291958939,5.52212291958939,2055.0,2055.0,15.953,15.953,4.9785,4.9785,50329.4958,27592.0112,7110.4494,90149.2648,0,50329.4958,27592.0112,2653.6115,70762.3261,0
12,12,45,3.2,550,244,0,0,0.55,0.5,0.5,0,5117.3084,0,-2121.9188,-2121.9188,0.09184866960024671,52615.9008,0,201251.9684,0.0,5.52212291958939,5.52212291958939,0.0,5.52212291958939,5.52212291958939,2055.0,2055.0,15.953,15.953,4.9785,4.9785,50329.4958,27592.0112,7110.4494,90149.2648,0,50329.4958,27592.0112,4656.2073,80455.7955,0
13,13,50,3.2,550,244,0,0,0.55,0.5,0.5,0,5117.3084,0,5117.3084,5117.3084,0.4431631569193245,52615.9008,0,201251.9684,0.0,5.52212291958939,5.52212291958939,0.0,5.52212291958939,5.52212291958939,2055.0,2055.0,15.953,15.953,4.9785,4.9785,50329.4958,27592.0112,7110.4494,90149.2648,0,50329.4958,27592.0112,7110.4494,90149.2648,0
14,14,55,3.2,550,244,0,0,0.55,0.5,0.5,0,5117.3084,0,12150.5836,12150.5836,0.7944776442384027,52615.9008,0,201251.9684,0.0,5.52212291958939,5.52212291958939,0.0,5.52212291958939,5.52212291958939,2055.0,2055.0,15.953,15.953,4.9785,4.9785,50329.4958,27592.0112,7110.4494,90149.2648,0,50329.4958,27592.0112,9770.6436,99842.7341,0
15,15,60,3.2,550,244,0,0,0.55,0.5,0.5,0,5117.3084,0,19092.932,19092.932,1.1457921315574808,52615.9008,0,201251.9684,0.0,5.52212291958939,5.52212291958939,0.0,5.52212291958939,5.52212291958939,2055.0,2055.0,15.953,15.953,4.9785,4.9785,50329.4958,27592.0112,7110.4494,90149.2648,0,50329.4958,27592.0112,12521.7645,109536.2035,0
16,16,25,3.2,550,244,0,0,0.6,0.5,0.5,0,2608.9438,0,-38747.9535,-38747.9535,0.0,52615.9008,0,201251.9684,0.0,5.52212291958939,5.52212291958939,0.0,5.52212291958939,5.52212291958939,2055.0,2055.0,15.953,15.953,5.4311,5.4311,50329.4958,30100.3758,7110.4494,90149.2648,0,50329.4958,30100.3758,0,41681.9181,0
17,17,30,3.2,550,244,0,0,0.6,0.5,0.5,0,2608.9438,0,-29072.4825,-29072.4825,0.0,52615.9008,0,201251.9684,0.0,5.52212291958939,5.52212291958939,0.0,5.52212291958939,5.52212291958939,2055.0,2055.0,15.953,15.953,5.4311,5.4311,50329.4958,30100.3758,7110.4494,90149.2648,0,50329.4958,30100.3758,17.9983,51375.3875,0
18,18,35,3.2,550,244,0,0,0.6,0.5,0.5,0,2608.9438,0,-20390.148,-20390.148,0.0,52615.9008,0,201251.9684,0.0,5.52212291958939,5.52212291958939,0.0,5.52212291958939,5.52212291958939,2055.0,2055.0,15.953,15.953,5.4311,5.4311,50329.4958,30100.3758,7110.4494,90149.2648,0,50329.4958,30100.3758,1029.1331,61068.8568,0
19,19,40,3.2,550,244,0,0,0.6,0.5,0.5,0,2608.9438,0,-12321.157,-12321.157,0.0,52615.9008,0,201251.9684,0.0,5.52212291958939,5.52212291958939,0.0,5.52212291958939,5.52212291958939,2055.0,2055.0,15.953,15.953,5.4311,5.4311,50329.4958,30100.3758,7110.4494,90149.2648,0,50329.4958,30100.3758,2653.6115,70762.3261,0
20,20,45,3.2,550,244,0,0,0.6,0.5,0.5,0,2608.9438,0,-4630.2835,-4630.2835,0.0008612571553951859,52615.9008,0,201251.9684,0.0,5.52212291958939,5.52212291958939,0.0,5.52212291958939,5.52212291958939,2055.0,2055.0,15.953,15.953,5.4311,5.4311,50329.4958,30100.3758,7110.4494,90149.2648,0,50329.4958,30100.3758,4656.2073,80455.7955,0
21,21,50,3.2,550,244,0,0,0.6,0.5,0.5,0,2608.9438,0,2608.9438,2608.9438,0.3229034277237673,52615.9008,0,201251.9684,0.0,5.52212291958939,5.52212291958939,0.0,5.52212291958939,5.52212291958939,2055.0,2055.0,15.953,15.953,5.4311,5.4311,50329.4958,30100.3758,7110.4494,90149.2648,0,50329.4958,30100.3758,7110.4494,90149.2648,0
22,22,55,3.2,550,244,0,0,0.6,0.5,0.5,0,2608.9438,0,9642.2189,9642.2189,0.6449455982921392,52615.9008,0,201251.9684,0.0,5.52212291958939,5.52212291958939,0.0,5.52212291958939,5.52212291958939,2055.0,2055.0,15.953,15.953,5.4311,5.4311,50329.4958,30100.3758,7110.4494,90149.2648,0,50329.4958,30100.3758,9770.6436,99842.7341,0
23,23,60,3.2,550,244,0,0,0.6,0.5,0.5,0,2608.9438,0,16584.5674,16584.5674,0.9669877688605113,52615.9008,0,201251.9684,0.0,5.52212291958939,5.52212291958939,0.0,5.52212291958939,5.52212291958939,2055.0,2055.0,15.953,15.953,5.4311,5.4311,50329.4958,30100.3758,7110.4494,90149.2648,0,50329.4958,30100.3758,12521.7645,109536.2035,0
24,24,25,3.2,550,244,0,0,0.5,0.55,0.55,0,10398.0917,0,-34595.982,-34595.982,0.0,52615.9008,0,201251.9684,0.0,6.074335211548331,6.074335211548331,0.0,6.074335211548331,6.074335211548331,2055.0,2055.0,15.953,15.953,4.1145,4.1145,55362.4454,25083.6465,8320.0077,99164.1913,0,55362.4454,25083.6465,0,45850.11,0
25,25,30,3.2,550,244,0,0,0.5,0.55,0.55,0,10398.0917,0,-24073.1884,-24073.1884,0.0,52615.9008,0,201251.9684,0.0,6.074335211548331,6.074335211548331,0.0,6.074335211548331,6.074335211548331,2055.0,2055.0,15.953,15.953,4.1145,4.1145,55362.4454,25083.6465,8320.0077,99164.1913,0,55362.4454,25083.6465,140.0227,56512.9262,0
26,26,35,3.2,550,244,0,0,0.5,0.55,0.55,0,10398.0917,0,-14674.3565,-14674.3565,0.0,52615.9008,0,201251.9684,0.0,6.074335211548331,6.074335211548331,0.0,6.074335211548331,6.074335211548331,2055.0,2055.0,15.953,15.953,4.1145,4.1145,55362.4454,25083.6465,8320.0077,99164.1913,0,55362.4454,25083.6465,1404.0071,67175.7425,0
27,27,40,3.2,550,244,0,0,0.5,0.55,0.55,0,10398.0917,0,-5876.1416,-5876.1416,0.0,52615.9008,0,201251.9684,0.0,6.074335211548331,6.074335211548331,0.0,6.074335211548331,6.074335211548331,2055.0,2055.0,15.953,15.953,4.1145,4.1145,55362.4454,25083.6465,8320.0077,99164.1913,0,55362.4454,25083.6465,3268.6084,77838.5588,0
28,28,45,3.2,550,244,0,0,0.5,0.55,0.55,0,10398.0917,0,2494.0352,2494.0352,0.3211323197400533,52615.9008,0,201251.9684,0.0,6.074335211548331,6.074335211548331,0.0,6.074335211548331,6.074335211548331,2055.0,2055.0,15.953,15.953,4.1145,4.1145,55362.4454,25083.6465,8320.0077,99164.1913,0,55362.4454,25083.6465,5561.2479,88501.375,0
29,29,50,3.2,550,244,0,0,0.5,0.55,0.55,0,10398.0917,0,10398.0917,10398.0917,0.7462166869669228,52615.9008,0,201251.9684,0.0,6.074335211548331,6.074335211548331,0.0,6.074335211548331,6.074335211548331,2055.0,2055.0,15.953,15.953,4.1145,4.1145,55362.4454,25083.6465,8320.0077,99164.1913,0,55362.4454,25083.6465,8320.0077,99164.1913,0
30,30,55,3.2,550,244,0,0,0.5,0.55,0.55,0,10398.0917,0,18118.1142,18118.1142,1.171301054193793,52615.9008,0,201251.9684,0.0,6.074335211548331,6.074335211548331,0.0,6.074335211548331,6.074335211548331,2055.0,2055.0,15.953,15.953,4.1145,4.1145,55362.4454,25083.6465,8320.0077,99164.1913,0,55362.4454,25083.6465,11262.8014,109827.0076,0
31,31,60,3.2,550,244,0,0,0.5,0.55,0.55,0,10398.0917,0,25740.9143,25740.9143,1.5963854214206623,52615.9008,0,201251.9684,0.0,6.074335211548331,6.074335211548331,0.0,6.074335211548331,6.074335211548331,2055.0,2055.0,15.953,15.953,4.1145,4.1145,55362.4454,25083.6465,8320.0077,99164.1913,0,55362.4454,25083.6465,14302.8176,120489.8238,0
32,32,25,3.2,550,244,0,0,0.55,0.55,0.55,0,7889.727,0,-37104.3466,-37104.3466,0.0,52615.9008,0,201251.9684,0.0,6.074335211548331,6.074335211548331,0.0,6.074335211548331,6.074335211548331,2055.0,2055.0,15.953,15.953,4.5259,4.5259,55362.4454,27592.0112,8320.0077,99164.1913,0,55362.4454,27592.0112,0,45850.11,0
