,ID,E_Brent,C_polimero,PPM,Costo_Kw_hr,reg_f,piloto,D_G,D_GSW,ecp_z,capex_p_x_v,opex_p_y_v,produccion_p_y_v,VPN_Basica_porta,VPN_incremental_porta,VPN_Basica,VPN_incremental,VPN_Total,EFI_INCREMENTAL,capex,opex_basica,opex_incremental,volumen_B_LE,volumen_I_LE,volumen_T_LE,volumen_B_LE_p,volumen_I_LE_p,volumen_T_LE_p,LE_year_p,LE_year_b,lc_p,lc_b,dc_p,dc_b,opex_ing_p,capex_ing_p,impuesto_ing_p,ingreso_ing_p,abandono_ing_p,opex_ing_b,capex_ing_b,impuesto_ing_b,ingreso_ing_b,abandono_ing_b
0,0,25,3.2,550,244,0,0,1,1,0,0.5,0.5,0.5,0,9122.6809,0,-2673.9722,-2673.9722,0.0,6378.1,0,21351.9024,0.0,2.1900510626442395,2.1900510626442395,0.0,1.0950255313221198,1.0950255313221198,2046.0,2046.0,9.1627,9.1627,2.737,2.737,7491.8538,3040.6399,3958.4077,23613.5823,0,14983.7077,6081.2797,971.3696,19362.3848,0
1,1,30,3.2,550,244,0,0,1,1,0,0.5,0.5,0.5,0,9122.6809,0,1222.4286,1222.4286,0.5604926568866929,6378.1,0,21351.9024,0.0,2.1900510626442395,2.1900510626442395,0.0,1.0950255313221198,1.0950255313221198,2046.0,2046.0,9.1627,9.1627,2.737,2.737,7491.8538,3040.6399,3958.4077,23613.5823,0,14983.7077,6081.2797,2185.9272,24473.3433,0
2,2,35,3.2,550,244,0,0,1,1,0,0.5,0.5,0.5,0,9122.6809,0,4907.3973,4907.3973,1.4009725877165815,6378.1,0,21351.9024,0.0,2.1900510626442395,2.1900510626442395,0.0,1.0950255313221198,1.0950255313221198,2046.0,2046.0,9.1627,9.1627,2.737,2.737,7491.8538,3040.6399,3958.4077,23613.5823,0,14983.7077,6081.2797,3611.917,29584.3017,0
3,3,40,3.2,550,244,0,0,1,1,0,0.5,0.5,0.5,0,9122.6809,0,8532.7844,8532.7844,2.24145251854647,6378.1,0,21351.9024,0.0,2.1900510626442395,2.1900510626442395,0.0,1.0950255313221198,1.0950255313221198,2046.0,2046.0,9.1627,9.1627,2.737,2.737,7491.8538,3040.6399,3958.4077,23613.5823,0,14983.7077,6081.2797,5097.4884,34695.2602,0
4,4,45,3.2,550,244,0,0,1,1,0,0.5,0.5,0.5,0,9122.6809,0,12138.7134,12138.7134,3.08193244937636,6378.1,0,21351.9024,0.0,2.1900510626442395,2.1900510626442395,0.0,1.0950255313221198,1.0950255313221198,2046.0,2046.0,9.1627,9.1627,2.737,2.737,7491.8538,3040.6399,3958.4077,23613.5823,0,14983.7077,6081.2797,6602.5178,39806.2186,0
5,5,50,3.2,550,244,0,0,1,1,0,0.5,0.5,0.5,0,9122.6809,0,15736.5528,15736.5528,3.9224123802062474,6378.1,0,21351.9024,0.0,2.1900510626442395,2.1900510626442395,0.0,1.0950255313221198,1.0950255313221198,2046.0,2046.0,9.1627,9.1627,2.737,2.737,7491.8538,3040.6399,3958.4077,23613.5823,0,14983.7077,6081.2797,8115.6368,44917.1771,0
6,6,55,3.2,550,244,0,0,1,1,0,0.5,0.5,0.5,0,9122.6809,0,19327.49,19327.49,4.762892311036137,6378.1,0,21351.9024,0.0,2.1900510626442395,2.1900510626442395,0.0,1.0950255313221198,1.0950255313221198,2046.0,2046.0,9.1627,9.1627,2.737,2.737,7491.8538,3040.6399,3958.4077,23613.5823,0,14983.7077,6081.2797,9635.6582,50028.1356,0
7,7,60,3.2,550,244,0,0,1,1,0,0.5,0.5,0.5,0,9122.6809,0,22910.8862,22910.8862,5.603372241866026,6378.1,0,21351.9024,0.0,2.1900510626442395,2.1900510626442395,0.0,1.0950255313221198,1.0950255313221198,2046.0,2046.0,9.1627,9.1627,2.737,2.737,7491.8538,3040.6399,3958.4077,23613.5823,0,14983.7077,6081.2797,11163.2204,55139.094,0
8,8,25,3.2,550,244,0,1,1,1,0,0.5,0.5,0.5,0,5161.9015,0,-12852.6233,-12852.6233,0.0,18058.1,0,21351.9024,0.0,2.1900510626442395,2.1900510626442395,0.0,1.0950255313221198,1.0950255313221198,2046.0,2046.0,9.1627,9.1627,7.7492,7.7492,7491.8538,8608.8614,2350.9656,23613.5823,0,14983.7077,17217.7228,13.5777,19362.3848,0
9,9,30,3.2,550,244,0,1,1,1,0,0.5,0.5,0.5,0,5161.9015,0,-8622.1534,-8622.1534,0.0,18058.1,0,21351.9024,0.0,2.1900510626442395,2.1900510626442395,0.0,1.0950255313221198,1.0950255313221198,2046.0,2046.0,9.1627,9.1627,7.7492,7.7492,7491.8538,8608.8614,2350.9656,23613.5823,0,14983.7077,17217.7228,894.0662,24473.3433,0
10,10,35,3.2,550,244,0,1,1,1,0,0.5,0.5,0.5,0,5161.9015,0,-4710.8947,-4710.8947,0.0,18058.1,0,21351.9024,0.0,2.1900510626442395,2.1900510626442395,0.0,1.0950255313221198,1.0950255313221198,2046.0,2046.0,9.1627,9.1627,7.7492,7.7492,7491.8538,8608.8614,2350.9656,23613.5823,0,14983.7077,17217.7228,2093.766,29584.3017,0
11,11,40,3.2,550,244,0,1,1,1,0,0.5,0.5,0.5,0,5161.9015,0,-1018.0063,-1018.0063,0.14483852496762495,18058.1,0,21351.9024,0.0,2.1900510626442395,2.1900510626442395,0.0,1.0950255313221198,1.0950255313221198,2046.0,2046.0,9.1627,9.1627,7.7492,7.7492,7491.8538,8608.8614,2350.9656,23613.5823,0,14983.7077,17217.7228,3511.836,34695.2602,0
12,12,45,3.2,550,244,0,1,1,1,0,0.5,0.5,0.5,0,5161.9015,0,2610.2014,2610.2014,0.44167662807928443,18058.1,0,21351.9024,0.0,2.1900510626442395,2.1900510626442395,0.0,1.0950255313221198,1.0950255313221198,2046.0,2046.0,9.1627,9.1627,7.7492,7.7492,7491.8538,8608.8614,2350.9656,23613.5823,0,14983.7077,17217.7228,4994.5868,39806.2186,0
13,13,50,3.2,550,244,0,1,1,1,0,0.5,0.5,0.5,0,5161.9015,0,6218.0095,6218.0095,0.738514731190944,18058.1,0,21351.9024,0.0,2.1900510626442395,2.1900510626442395,0.0,1.0950255313221198,1.0950255313221198,2046.0,2046.0,9.1627,9.1627,7.7492,7.7492,7491.8538,8608.8614,2350.9656,23613.5823,0,14983.7077,17217.7228,6497.7371,44917.1771,0
14,14,55,3.2,550,244,0,1,1,1,0,0.5,0.5,0.5,0,5161.9015,0,9815.849,9815.849,1.035352834302604,18058.1,0,21351.9024,0.0,2.1900510626442395,2.1900510626442395,0.0,1.0950255313221198,1.0950255313221198,2046.0,2046.0,9.1627,9.1627,7.7492,7.7492,7491.8538,8608.8614,2350.9656,23613.5823,0,14983.7077,17217.7228,8010.8561,50028.1356,0
15,15,60,3.2,550,244,0,1,1,1,0,0.5,0.5,0.5,0,5161.9015,0,13407.8061,13407.8061,1.3321909374142633,18058.1,0,21351.9024,0.0,2.1900510626442395,2.1900510626442395,0.0,1.0950255313221198,1.0950255313221198,2046.0,2046.0,9.1627,9.1627,7.7492,7.7492,7491.8538,8608.8614,2350.9656,23613.5823,0,14983.7077,17217.7228,9529.8574,55139.094,0
16,16,25,3.2,550,244,0,0,1,1,0,0.55,0.5,0.5,0,8818.617,0,-2673.9722,-2673.9722,0.0,6378.1,0,21351.9024,0.0,2.1900510626442395,2.1900510626442395,0.0,1.0950255313221198,1.0950255313221198,2046.0,2046.0,9.1627,9.1627,3.0107,2.737,7491.8538,3344.7039,3958.4077,23613.5823,0,14983.7077,6081.2797,971.3696,19362.3848,0
17,17,30,3.2,550,244,0,0,1,1,0,0.55,0.5,0.5,0,8818.617,0,1222.4286,1222.4286,0.5604926568866929,6378.1,0,21351.9024,0.0,2.1900510626442395,2.1900510626442395,0.0,1.0950255313221198,1.0950255313221198,2046.0,2046.0,9.1627,9.1627,3.0107,2.737,7491.8538,3344.7039,3958.4077,23613.5823,0,14983.7077,6081.2797,2185.9272,24473.3433,0
18,18,35,3.2,550,244,0,0,1,1,0,0.55,0.5,0.5,0,8818.617,0,4907.3973,4907.3973,1.4009725877165815,6378.1,0,21351.9024,0.0,2.1900510626442395,2.1900510626442395,0.0,1.0950255313221198,1.0950255313221198,2046.0,2046.0,9.1627,9.1627,3.0107,2.737,7491.8538,3344.7039,3958.4077,23613.5823,0,14983.7077,6081.2797,3611.917,29584.3017,0
19,19,40,3.2,550,244,0,0,1,1,0,0.55,0.5,0.5,0,8818.617,0,8532.7844,8532.7844,2.24145251854647,6378.1,0,21351.9024,0.0,2.1900510626442395,2.1900510626442395,0.0,1.0950255313221198,1.0950255313221198,2046.0,2046.0,9.1627,9.1627,3.0107,2.737,7491.8538,3344.7039,3958.4077,23613.5823,0,14983.7077,6081.2797,5097.4884,34695.2602,0
20,20,45,3.2,550,244,0,0,1,1,0,0.55,0.5,0.5,0,8818.617,0,12138.7134,12138.7134,3.08193244937636,6378.1,0,21351.9024,0.0,2.1900510626442395,2.1900510626442395,0.0,1.0950255313221198,1.0950255313221198,2046.0,2046.0,9.1627,9.1627,3.0107,2.737,7491.8538,3344.7039,3958.4077,23613.5823,0,14983.7077,6081.2797,6602.5178,39806.2186,0
21,21,50,3.2,550,244,0,0,1,1,0,0.55,0.5,0.5,0,8818.617,0,15736.5528,15736.5528,3.9224123802062474,6378.1,0,21351.9024,0.0,2.1900510626442395,2.1900510626442395,0.0,1.0950255313221198,1.0950255313221198,2046.0,2046.0,9.1627,9.1627,3.0107,2.737,7491.8538,3344.7039,3958.4077,23613.5823,0,14983.7077,6081.2797,8115.6368,44917.1771,0
22,22,55,3.2,550,244,0,0,1,1,0,0.55,0.5,0.5,0,8818.617,0,19327.49,19327.49,4.762892311036137,6378.1,0,21351.9024,0.0,2.1900510626442395,2.1900510626442395,0.0,1.0950255313221198,1.0950255313221198,2046.0,2046.0,9.1627,9.1627,3.0107,2.737,7491.8538,3344.7039,3958.4077,23613.5823,0,14983.7077,6081.2797,9635.6582,50028.1356,0
23,23,60,3.2,550,244,0,0,1,1,0,0.55,0.5,0.5,0,8818.617,0,22910.8862,22910.8862,5.603372241866026,6378.1,0,21351.9024,0.0,2.1900510626442395,2.1900510626442395,0.0,1.0950255313221198,1.0950255313221198,2046.0,2046.0,9.1627,9.1627,3.0107,2.737,7491.8538,3344.7039,3958.4077,23613.5823,0,14983.7077,6081.2797,11163.2204,55139.094,0
24,24,25,3.2,550,244,0,1,1,1,0,0.55,0.5,0.5,0,4301.0154,0,-12852.6233,-12852.6233,0.0,18058.1,0,21351.9024,0.0,2.1900510626442395,2.1900510626442395,0.0,1.0950255313221198,1.0950255313221198,2046.0,2046.0,9.1627,9.1627,8.5242,7.7492,7491.8538,9469.7475,2350.9656,23613.5823,0,14983.7077,17217.7228,13.5777,19362.3848,0
25,25,30,3.2,550,244,0,1,1,1,0,0.55,0.5,0.5,0,4301.0154,0,-8622.1534,-8622.1534,0.0,18058.1,0,21351.9024,0.0,2.1900510626442395,2.1900510626442395,0.0,1.0950255313221198,1.0950255313221198,2046.0,2046.0,9.1627,9.1627,8.5242,7.7492,7491.8538,9469.7475,2350.9656,23613.5823,0,14983.7077,17217.7228,894.0662,24473.3433,0
